OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,snap,wic,fm_senior
32,Johnson,Johnson County Farmers' Market,Farmer's Market,"826 F. M. Stafford, Paintsville, Ky 41240",606-789-8108,37.808089,-82.798013,Seasonal,"<a href = ""https://www.facebook.com/JohnsonCountyFarmersMarket01/"">Click here to access their website</a>",Contact: Lori Gearheart. located in the Cooperative Extension Office parking lot,Not yet,Yes,Yes
33,Knott,Golden Apple Fruit Market,produce Market,"820 KY-160, Hindman, KY 41822",859-273-8629,37.325633,-82.968351,N/A,"<a href = ""https://www.facebook.com/hindmansgoldenapple/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
34,Knott,Knott County Farmers Market,Farmers Market,"56 Education Lane Hindman, Kentucky 41822",606-785-5329,37.33475,-82.977312,Seasonal,"<a href = ""https://www.facebook.com/KnottCFM/"">Click here to access their website</a>",N/A,No,No,Yes
35,Knox,Knox County Farmers' Market,Farmers Market,"Knox County Extension Pavilion 215 Truehaft Rd, Barbourville, KY",606-627-1810,36.850476,-83.86595,Seasonal,"<a href = ""https://www.facebook.com/knoxcountyfarmersmarket/"">Click here to access their website</a>",N/A,Yes,Yes,Yes
36,Laurel,The Amazing JJ,produce Market,"140 James Lewis Dr, London, KY 40744",606-878-0690,37.105641,-84.064416,N/A,"<a href = ""https://mobile.facebook.com/The-Amazing-JJ-1872239872843987/"">Click here to access their website</a>",N/A,No,No,N/A
37,Laurel,The Jones Market,Produce Market,"1508 S Laurel Rd, London, KY 40744",606-765-7292,37.105641,-84.064416,Mon-Sat 9-5,"<a href = ""https://www.facebook.com/TJM5119/"">Click here to access their website</a>",N/A,No,No,N/A
38,Laurel,Shae's Produce,Produce Market,"2050 North Laurel Road London, Kentucky 40741",606-309-0216,37.167518,-84.119862,N/A,"<a href = ""https://www.facebook.com/Shaes-Produce-302424343503449/"">Click here to access their website</a>",N/A,No,No,N/A
39,Laurel,London-Laurel County Farmers' Market,Farmers Market,"529 S Main St London, Kentucky 40741",606-864-4167,37.12585,-84.081637,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Farmers-Market/London-Laurel-County-Farmers-Market-105850682843290/"">Click here to access their website</a>",N/A,No,yes,Yes
40,Lawrence,4 got n tymes,farm,"2770 Little Cat Fork Rd, Louisa, KY 41230",606-465-4501,38.183627,-82.763105,"Mon-Sat 10-6, Sun 12-5","<a href = ""https://www.facebook.com/forgotntymesfarm/"">Click here to access their website</a>",N/A,No,No,N/A
41,Lawrence,Lawrence County Farmers Market,Farmers Market,"249 Industrial Park Road,Louisa, 41230",606-673-9495,38.096421,-82.619246,Seasonal,"<a href = ""https://lawrence.ca.uky.edu/content/farmers-market"">Click here to access their website</a>",N/A,No,No,Yes
42,Leslie,Begley General/Randy Lee's,Produce Market,"23983 Hwy. 421, Hyden, Ky",606 672-4858,37.150402,-83.402376,"Mon-Sat 8-6, Sun 11-4","<a href = ""https://www.facebook.com/BegleysGeneralStore/"">Click here to access their website</a>",N/A,No,No,
43,Letcher,Golden Apple Fruit Market,produce Market,"1523 Highway 119 N Whitesburg, Kentucky 41815",606-633 4994,37.125158,-82.786947,"Mon-Sat 8-8, Sun 11-8","<a href = ""https://www.facebook.com/GOLDENAPPLEFruitmarket/"">Click here to access their website</a>",N/A,N/A,N/A,N/A
44,Letcher,Letcher County Farmers Market,Farmers Market,"Veterans Memorial Parking Lot, 100 E Main St, Whitesburg, KY, 41858",606-634 9468,37.117181,-82.824773,Seasonal,"<a href = ""https://www.facebook.com/WhitesburgLetcherCountyFarmersMarket/?rf=275717472568415"">Click here to access their website</a>",N/A,Yes,Yes,Yes
45,Lewis,Delicious Fruits,produce Market,"543 Winesap Dr Quincy, Kentucky 41175",606-932-9283,38.64078,-83.051642,N/A,N/A,N/A,No,No,N/A
46,Lewis,Lewis County Farmers Market,Farmers Market,"67 Commercial Dr Vanceburg, KY 41179",606-796-2732,38.59064,-83.326719,Seasonal,"<a href = ""https://www.facebook.com/lewiscountyfarmersmarket/"">Click here to access their website</a>",N/A,No,yes,yes
47,Lincoln,Bittersweet Farm Market,Farm,"3396 Bowen Road Stanford, Kentucky 40484",859-583-9599,37.548372,-84.800851,Mon-Sat 10-5:30,"<a href = ""https://www.facebook.com/bittersweetfarmKY/"">Click here to access their website</a>",N/A,No,No,N/A
48,Lincoln,Lincoln County Farmers Market,Farmers Market,"567 Goshen Road Stanford, KY 40484",606-669-0772,37.53819,-84.645083,Seasonal,"<a href = ""https://www.facebook.com/LCFarmersMarket/"">Click here to access their website</a>",N/A,No,No,Yes
49,Madison,Madison County Farmers Market,Farmers Market,"109 East Irvine St. Richmond, Kentucky",859-925-9936,37.748332,-84.292858,Seasonal,"<a href = ""https://www.facebook.com/MadisonKYFarmersMarket/"">Click here to access their website</a>",N/A,No,No,Yes
50,Madison,Berea Farmers' Market,Farmers Market,"Parish House 101 Fee Park, 401 Chestnut St, Berea, KY 40403",859-813-0750,37.568165,-84.296943,Seasonal,"<a href = ""https://www.facebook.com/bereafarmersmarket/"">Click here to access their website</a>",N/A,Yes,No,N/A
51,Magoffin,Buddy's Produce,produce Market,"Salyersville, KY 41465",606-433-9156,37.739933,-83.047582,N/A,"<a href = ""https://www.facebook.com/pages/Buddies-Produce/134481240094516?hc_ref=ARTfS-PkX1PUb926NZHV1jbhSjTMxfaLLHfIrsIUu77W5srNRj3_bBe8qYJyD7pnQ_k&fref=tag"">Click here to access their website</a>",N/A,Yes,Yes,N/A
52,Magoffin,Magoffin County Farmers Market,Farmers Market,"333 West Maple Street Salyersville, KY 41465",606-349-3216,37.751718,-83.072976,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Product-Service/Magoffin-County-Farmers-Market-178449496305110/"">Click here to access their website</a>",N/A,No,No,Yes
53,Martin,Martin County Farmers Market,Farmers Market,"9 Holy St Inez, Kentucky 41224",606-298-7742,37.865677,-82.540306,Seasonal,"<a href = ""https://www.facebook.com/pages/Martin-County-Farmers-Market/180280112675101"">Click here to access their website</a>",N/A,No,No,Yes
54,McCreary,McCreary County Farmers Market,Farmers Market,"Soil Conservation Garage, 299 Wilburn K Ross Highway Stearns, KY 42647
",606-376-3008,36.702527,-84.464791,Seasonal,"<a href = ""https://www.facebook.com/McCrearyCountyFarmersMarket/"">Click here to access their website</a>",N/A,Yes,Yes,Yes
55,Menifee,Menifee County Farmers' Market,Farmers Market,"62 Back Street Frenchburg, Kentucky 40322",606-768-3724,37.951819,-83.628147,Seasonal,"<a href = ""https://www.facebook.com/Menifee-County-Farmers-Market-1412859525644869/"">Click here to access their website</a>",N/A,Yes,No,Yes
56,Montgomery,Karl's/Jr's Produce,Produce Market,"1599 Indian Mound Dr, Mt Sterling, KY 40353",859-498-5044,38.044848,-83.955281,"Monday-Fri 8:30-5, Sat 9-3","<a href = ""https://www.facebook.com/pages/category/Shopping---Retail/Jrs-Produce-169532263073279/"">Click here to access their website</a>",N/A,No,Yes,N/A
57,Montgomery,Montgomery County Farmers' Market,Farmers Market,"153 South Maysville Street Mount Sterling, Kentucky 40353",859-279-2205,38.054453,-83.941222,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Farmers-Market/Montgomery-County-KY-Farmers-Market-999391673524365/"">Click here to access their website</a>",N/A,Yes,No,Yes
58,Morgan,Fannin's Vegetable Market,produce Market,"2140 US Highway 460 W West Liberty, Kentucky 41472",606-743-2326,37.894469,-83.289536,Everyday 9-5,"<a href = ""https://www.facebook.com/FanninsVegetableFarm/"">Click here to access their website</a>",N/A,N/A,N/A,N/A
59,Morgan,Morgan County Farmers' Market,Farmers Market,"219 W Main St West Liberty, Kentucky 41472",606-743-3292,37.915301,-83.260901,Seasonal,"<a href = ""https://www.facebook.com/morgancofarmersmarket/"">Click here to access their website</a>",N/A,No,No,Yes
60,Owsley,Southfork Farms,Farm,"402 KY 1938 Booneville, Kentucky 41314",606-454-5109,37.455227,-83.69247,Seasonal,"<a href = ""https://www.facebook.com/ted.johnson.77312/"">Click here to access their website</a>",N/A,No,Yes,N/A
61,Owsley,Owsley County Farmers' Market,Farmers Market,"Shepherds Lane Booneville, KY 41314",606-593-5109,37.476029,-83.665002,Seasonal,"<a href = ""https://www.facebook.com/Owsley-County-Farmers-Market-483318505393817/"">Click here to access their website</a>",N/A,No,Yes,Yes
62,Perry,Perry County Farmers' Market,Farmer's Market,"Perry Park Road 420 Main Street, Hazard, KY 41701",571-217-5913,37.282943,-83.209918,Seasonal,"<a href = ""https://www.facebook.com/PerryCountyFarmersMarket/"">Click here to access their website</a>",N/A,No,Yes,Yes
63,Pike,Pikeville Farmers' Market,Farmers Market,"130 Adams Ln, Pikeville, KY 41501",606-432-2534,37.485078,-82.545437,Seasonal,"<a href = ""https://www.facebook.com/PikevilleFarmersMarket/"">Click here to access their website</a>",N/A,No,Yes,Yes
64,Powell,Powell County Farmers' Market in Stanton,Farmers Market,"91 N Main St, Stanton, KY 40380",606-663-6405,37.844569,-83.858758,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Community-Organization/Powell-County-Farmers-Market-569811056469409/"">Click here to access their website</a>",N/A,No,No,Yes
65,Powell,Powell County Farmers' Market in Clay City,Farmers Market,"Highway 15, Clay City, KY, 40312",606-663-6405,37.864927,-83.934141,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Community-Organization/Powell-County-Farmers-Market-569811056469409/"">Click here to access their website</a>",N/A,No,No,Yes
66,Pulaski,Burnett Farms,Farm,"925 Parkers Mill Rd, Somerset, KY 42501",606-451-9315,37.04192,-84.609941,Seasonal,"<a href = ""https://www.facebook.com/5farm/"">Click here to access their website</a>",N/A,No,No,N/A
67,Pulaski,Hail's Farm,Farm,"3115 Hwy 461 Somerset, Kentucky 42503",606-274-0011,37.196875,-84.46683,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Fruit---Vegetable-Store/Hails-Farm-574037332607189/"">Click here to access their website</a>",N/A,No,No,N/A
68,Pulaski,The Market on Main,Produce Market,"3661 S Hwy 27 suite c, Somerset, KY 42501",606-677-6725,37.047944,-84.626474,"Mon-Sat 10-6, Sun 12-5","<a href = ""https://www.facebook.com/pg/MarketOnMainKY/posts/?ref=page_internal"">Click here to access their website</a>",N/A,No,Yes,Yes
69,Pulaski,Haney's Appledale Farm,Farm,"8350 W Highway 80 Nancy, Kentucky 42544",606-636-6148,37.047944,-84.626474,Seasonal,"<a href = ""https://www.facebook.com/haneysfarm/"">Click here to access their website</a>",N/A,No,No,N/A
70,Pulaski,Pulaski Growers Farmers' Market,Farmers Market,"East Mt Vernon St Somerset, Kentucky 42501",606-305-6647,37.092701,-84.601822,Seasonal,"<a href = ""https://www.facebook.com/Pulaski-Growers-Farmers-Market-654606937940884/"">Click here to access their website</a>",N/A,No,No,yes
71,Pulaski,Somerset Farmers' Market,Farmers Market,4150 South Hwy 27 Somerset KY 42501,606-679 6361,37.036482,-84.626042,Seasonal,"<a href = ""https://www.facebook.com/Somerset-Farmers-Market-219538324723901/"">Click here to access their website</a>",N/A,No,No,yes
72,Rockcastle,Rockcastle Farmer's Market,Farmers Market,"120 Richmond Street Mount Vernon, Kentucky 40456",606-308-2418,37.354698,-84.339916,Seasonal,"<a href = ""https://www.facebook.com/RockcastleFarmersMarket/"">Click here to access their website</a>",N/A,No,No,Yes
73,Rowan,Arnett Family Farms,produce Market,"1575 Moores School Rd, Morehead, KY 40351",740-395-7018,38.170748,-83.542247,Mon-Fri 8-5,"<a href = ""https://www.facebook.com/arnettfamilyfarms"">Click here to access their website</a>",N/A,No,No,N/A
74,Rowan,Rowan County Farmers Market,Farmers Market,"201 Rowan Street Morehead, KY 40351",606-784-5457,38.183569,-83.431502,Seasonal,"<a href = ""https://www.facebook.com/rowancountyfarmersmarket/"">Click here to access their website</a>",N/A,No,No,Yes
75,Russell,Farmers Produce Inc,produce Market,"479 Lakeway Dr, Russell Springs, KY 42642",270-866-5556,37.043985,-85.081213,Mon-Sat 9-4,"<a href = ""https://www.facebook.com/pages/category/Local-Business/Farmers-Produce-416014002151677/"">Click here to access their website</a>",N/A,Yes,Yes,
76,Russell,French Valley Farms,Farms,1842 N Main St Jamestown KY 42629,270-566-1757,36.998052,-85.071609,Seasonal,N/A,N/A,No,No,
77,Russell,Russell County Farmers Market,Farmers Market,"2688 S. Hwy 127 Russell Springs, KY 42642",270-866-4477,37.02787,-85.076488,Seasonal,"<a href = ""https://russell.ca.uky.edu/content/russell-county-farmers-market"">Click here to access their website</a>",N/A,No,No,
78,Wayne,Wayne County Farmers' Market,Farmers Market,"40 South Main St. Monticello, Kentucky 42633",N/A,36.82925,-84.850262,Seasonal,"<a href = ""https://www.facebook.com/wckyfarmersmarket/"">Click here to access their website</a>",N/A,Yes,No,Yes
79,Whitley,Williamsburg Market,Farmers Market,"Cumberland Ave Williamsburg, KY 40769",606-549-1430,36.741931,-84.159339,Seasonal,"<a href = ""https://whitley.ca.uky.edu/FarmersMarket"">Click here to access their website</a>",N/A,Yes,Yes,Yes
80,Whitley,Corbin Market,Farmers Market,"108 S Main St, Corbin, KY 40701",606-549-1430,36.946922,-84.096532,Seasonal,"<a href = ""https://www.facebook.com/WCFarmersMarket/"">Click here to access their website</a>",N/A,Yes,Yes,Yes
81,Wolfe,Wolfe County Farmers Market,Farmers Market,"31 N Washington Street Campton,  KY 41301",606-668-3712,37.740995,-83.549076,Seasonal,"<a href = ""https://wolfe.ca.uky.edu/"">Click here to access their website</a>",N/A,No,No,Yes
