OBJECTID,county,name,sector,type,address,phone,y,x,hours,website
318,Knox,Kentucky Career Center,Social services,Careers,"464 Court Square Barbourville, KY 40906",606-546-2639,36.866251,-83.888048,Mon-Fri 8-5,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>https://kcc.ky.gov/Pages/default.aspx"
335,Laurel,Kentucky Career Center,Social services,Careers,"100 University Drive London, KY 40741",606-330-2115,37.1154814,-84.0627179,"Tues, Thurs 8-4","<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
351,Lawrence,Northeast KY Community Action,Social services,Careers,"180 Bulldog Lane Louisa, KY 41230",606-638-4067,38.098112,-82.603987,Mon-Fri 8-4:30,"<a href = ""nkcaa.net"">Click here to access their website</a>"
359,Lee,Kentucky Career Center,Social services,Careers,"205 Main Street Beatyville, KY 41311",606-464-2254,37.573341,-83.710568,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
369,Leslie,"LKLP Community Action Council, Inc",Social services,Careers,"121 Maple Street Hyden, KY 41749",606-672-2155,37.163361,-83.376399,Mon-Fri 8-4:30,"<a href = ""https://www.lklp.org/"">Click here to access their website</a>"
385,Letcher,Kentucky Career Center,Social services,Careers,"417 Hwy. 2034 Whitesburg, KY 41858",606-633-3154,37.116023,-82.797203,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
442,Madison,Kentucky Career Center,Social services,Careers,"830 Eastern By-Pass Richmond , KY 40475",859-544-6004,37.729792,-84.279467,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
468,Martin,Kentucky Career Center,Social services,Careers,"387 East Main Street Inez, KY 41224",606-298-3217,37.868705,-82.533371,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
485,Menifee,Kentucky Adult Education,Social services,Careers,"KY-36, Frenchburg, KY 40322",606-768-9741,37.951737,-83.626713,Mon-Fri 8-noon,"<a href = ""https://kyvae.ky.gov/Login.aspx"">Click here to access their website</a>"
487,Menifee,Kentucky Career Center,Social services,Careers,"28B Bible Camp Lane Frenchburg, KY 40322",800-927-1833,37.9660321,-83.6117655,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
503,Montgomery,Kentucky Career Center,Social services,Careers,"200 Oak Grove Drive, Suite 3 Mt. Sterling, KY 40353",859-554-2525,38.100569,-83.904451,"Mon, Wed, Fri 8-4:30","<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
515,Morgan,Gateway Community Action Agency,Social services,Careers,"151 University Drive West Liberty, KY 41472",606-743-3133,37.900406,-83.288998,Mon-Fri 8-4:30,"<a href = ""gcscap.org"">Click here to access their website</a>"
547,Perry,Kentucky Career Center,Social services,Careers,"412 Roy Campbell Drive Hazard, KY 41701",606-435-6038,37.270593,-83.232674,"Mon-Wed 8-5, Thurs 8-4:30, Thurs 8-4:30, Fri 8-noon","<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
578,Pike,Kentucky Career Center,Social services,Careers,"138 College Street Pikeville, KY 41501",606-433-7721,37.476548,-82.521029,"Mon-Wed 8-5, Thurs 8-4:30, Fri 8-noon","<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
579,Pike,Big Sandy Area Community Action Program,Social services,Careers,"478 Town Mountain Road Pikeville, KY 41501",606-432-2775,37.49024,-82.499622,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
627,Pulaski,Kentucky Career Center,Social services,Careers,"410 E. Mount Vernon Somerset, KY 42502",606-677-4124,37.09437,-84.599793,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
680,Russell,Kentucky Career Center,Social services,Careers,"2384 Lakeway Drive Russell Springs, KY 42642",270-866-8435,37.066688,-85.072916,Mon-Fri 8-4,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
692,Wayne,Kentucky Career Center,Social services,Careers,"1500 N. Main St. Monticello, KY 42633",606-348-6050,36.847137,-84.834171,Mon-Fri 8-4:30,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
713,Whitley,Kentucky Career Center and social security department,Social services,Careers,"1000 South HWY 25 West Williamsburg, KY 40769",606-549-5009,36.950231,-84.093246,Mon-Fri 8-4,"<a href = ""https://kcc.ky.gov/Pages/default.aspx"">Click here to access their website</a>"
