OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,snap,wic
11,Boyd,Aldi,Grocery,"130 Russell Rd, Ashland, KY 41101",855-955-2534,38.493635,-82.668501,"Mon-Fri, 9-9, Sat-Sun 9-8","<a href = ""https://www.aldi.us/en/"">Click here to access their website</a>",N/A,Yes,No
12,Boyd,Walmart Supercenter,Grocery,"12504 US-60, Ashland, KY 41102",606-929-9510,38.388509,-82.711228,24/7,"<a href = ""https://www.walmart.com/store/2638/ashland-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
13,Boyd,Save-a-Lot,Grocery,"5850 US Route 60 Summit Plaza, Ashland, KY 41102",606-928-2318,38.436991,-82.685422,"Mon-Sat 9-9, Sun 11-7","<a href = ""https://savealot.com/grocery-stores/ashland-41102-23823/"">Click here to access their website</a>",N/A,Yes,Yes
14,Boyd,Wamart Supercenter,Grocery,"351 River Hill Dr, Ashland, KY 41101",606-329-0012,38.485726,-82.658322,24/7,"<a href = ""https://www.walmart.com/store/1426/ashland-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
15,Boyd,Kroger,Grocery,"711 12th St, Ashland, KY 41101",606-325-8231,38.477626,-82.649695,"Everday, 6-midnight","<a href = ""https://www.kroger.com/stores/details/029/00783?cid=loc_02900783_gmb"">Click here to access their website</a>",N/A,Yes,Yes
16,Boyd,Kroger,Grocery,"370 Diederich Blvd, Ashland, KY 41101",606-325-8911,38.477626,-82.649695,Everday 6-midnight,"<a href = ""https://www.kroger.com/stores/details/029/00796?cid=loc_02900796_gmb"">Click here to access their website</a>",N/A,Yes,Yes
17,Boyd,Ashland Food Fair,Grocery,"291 Blackburn Ave, Ashland, KY 41101",606-329-2111,38.477626,-82.649695,Everyday 7-10,"<a href = ""http://foodfairmarkets.com/"">Click here to access their website</a>",N/A,Yes,Yes
18,Boyd,Hilltop Market,Grocery,"3466 13th St, Ashland, KY 41102",606-324-4624,38.455489,-82.66894,Mon-Sat 9-6,"<a href = ""https://www.facebook.com/ArtripsHilltopMarket"">Click here to access their website</a>",N/A,No,Yes
19,Breathitt,Save-a-Lot,Grocery,"1471 KY-15, Jackson, KY 41339",606-666-9451,37.568826,-83.401118,Everday 8-9,"<a href = ""https://savealot.com/grocery-stores/jackson-41339-24740/"">Click here to access their website</a>",N/A,Yes,Yes
20,Breathitt,Jackson IGA,Grocery,"723 KY-15, Jackson, KY 41339",606-666-8188,37.550963,-83.358781,"Mon-Sat 8-9, Sun 9-9","<a href = ""https://www.jacksoniga.com/"">Click here to access their website</a>",N/A,Yes,Yes
21,Breathitt,Jiffy Mart,Grocery,"800 KY-15, Jackson, KY 41339",606-666-5986,37.557616,-83.367225,"Mon-Sat 6-10, Sun 6:30-10","<a href = ""http://www.jiffymartstores.com/"">Click here to access their website</a>",N/A,Yes,Yes
22,Carter,Save-a-Lot,Grocery,"131 Jessica Ln, Olive Hill, KY 41164",606-286-5053,38.297666,-83.180985,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/olive-hill-41164-24863/"">Click here to access their website</a>",N/A,Yes,Yes
23,Carter,Ralph's Food Fair,Grocery,"630 Carol Malone Blvd, Grayson, KY 41143",606-474-5522,38.33935,-82.942182,Everyday 7-10,"<a href = ""http://www.foodfairmarkets.com/"">Click here to access their website</a>",N/A,Yes,Yes
24,Carter,Save-a-Lot,Grocery,"584 KY-1947, Grayson, KY 41143",606-474-6003,38.344797,-82.949568,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/grayson-41143-23820/"">Click here to access their website</a>",N/A,Yes,Yes
25,Casey,IGA,Grocery,"150 Liberty Sq. Shopping Center, Liberty, KY 42539",606-787-6262,37.318457,-84.927906,"Mon-Sat 6-9, Sun 7-9","<a href = ""https://www.libertyiga.com/"">Click here to access their website</a>",N/A,Yes,No
26,Casey,Casey County Discount Marketplace,Grocery,"1190 KY-910, Liberty, KY 42539",606-787-0957,37.198444,-84.949385,"Mon-Thurs 8-7, Fri 8-5, Sun 8-6","<a href = ""https://www.caseydiscount.com/"">Click here to access their website</a>",N/A,Yes,Yes
27,Casey,Lavern's Country Market,Grocery,"5 S Fork Creek Rd, Liberty, KY 42539",606-787-9845,37.196415,-84.948339,Mon-Sat 8-5,"<a href = ""https://www.facebook.com/pages/Laverns-Country-Market/687037444730128"">Click here to access their website</a>",N/A,Yes,Yes
28,Casey,Save-a-Lot,Grocery,"675 N Wallace Wilkinson Blvd, Liberty, KY 42539",606-787-8562,37.32321,-84.925704,"Mon-Sat 7:30-8, Sun 10-8","<a href = ""https://savealot.com/grocery-stores/liberty-42539-24678/"">Click here to access their website</a>",N/A,Yes,Yes
29,Clark,Kroger,Grocery,"1661 Bypass Rd, KY-1958, Winchester, KY 40391",859-745-4959,37.99432,-84.217801,Everday 6-midnight,"<a href = ""https://www.kroger.com/stores/details/024/00402?cid=loc_02400402_gmb"">Click here to access their website</a>",N/A,Yes,Yes
30,Clark,Save-a-Lot,Grocery,"755 Ecton Rd, Winchester, KY 40391",859-744-6259,38.002162,-84.151344,Everyday 9-9,"<a href = ""https://savealot.com/grocery-stores/winchester-40391-24651/"">Click here to access their website</a>",N/A,Yes,Yes
31,Clark,Walmart Supercenter,Grocery,"1859 Bypass Rd, Winchester, KY 40391",859-744-5070,37.988008,-84.210716,24/7,"<a href = ""https://www.walmart.com/store/702/winchester-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
32,Clark,South Main Grocery Store,Grocery,"385 S Main St, Winchester, KY 40391",859-744-8268,37.984268,-84.181357,Mon-Sat 9-7,"<a href = ""https://south-main-grocery.hub.biz/?fbclid=IwAR39-4hTCMwsaaE_qR70HqVHQaeRaw5umJgsj8onaMxg8HauXlL0SiHiLgY"">Click here to access their website</a>",N/A,Yes,No
33,Clay,Walmart,Grocery,"240 Manchester Square Shpg Center, Manchester, KY 40962",606-598-6123,37.140824,-83.772833,"Everyday, 6-11pm","<a href = ""https://www.walmart.com/store/545/manchester-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
34,Clay,Manchester IGA #1,Grocery,"414 Manchester Square, Manchester, KY 40962",606-598-6232,37.138297,-83.775499,"Mon-Sat 7-9, Sun 9-9","<a href = ""https://manchesteriga1.com/"">Click here to access their website</a>",N/A,Yes,Yes
35,Clay,Save-a-Lot,Grocery,"120 Garrard Square, Garrard, KY 40921",606-598-0041,37.118853,-83.741236,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/garrard-40921-23697/"">Click here to access their website</a>",N/A,Yes,Yes
36,Clay,Save-a-Lot,Grocery,4833 US 421 Fall Rock KY 40932,606-598-3057,37.214932,-83.787049,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/fall-rock-40932-23331/"">Click here to access their website</a>",N/A,Yes,Yes
37,Clinton,IGA,Grocery,"120 Westview Shopping Center, Albany, KY 42602",606-387-5117,36.69894,-85.143803,"Mon-Thurs 7-8, Friday, Sat 7-9, Sun 7-8","<a href = ""https://www.myiga.com/"">Click here to access their website</a>",N/A,Yes,No
38,Clinton,Save-a-Lot,Grocery,"415 Burkesville Rd, Albany, KY 42602",606-387-8034,36.696793,-85.141252,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/albany-42602-23469/"">Click here to access their website</a>",N/A,Yes,Yes
39,Cumberland,IGA,Grocery,"116 Keen St, Burkesville, KY 42717",270-864-2234,36.784193,-85.373069,"Mon-Thurs 7-8, Friday, Sat 7-9, Sun 7-8","<a href = ""https://www.myiga.com/"">Click here to access their website</a>",N/A,No,No
40,Cumberland,Kountry Kitchen Store,Grocery,"8459 Glasgow Rd, Burkesville, KY 42717",270-864-9200,36.830672,-85.492428,"Tues-Fri 8-5, Sat 8-4","<a href = ""kountrykitchenstore.com/"">Click here to access their website</a>",N/A,Yes,Yes
41,Elliott,Save-a-Lot,Grocery,"1930 N, KY-7, Sandy Hook, KY 41171",606-738-6968,38.109284,-83.11457,"Everyday, 8-9","<a href = ""https://savealot.com/grocery-stores/sandy-hook-41171-45149/"">Click here to access their website</a>",N/A,Yes,Yes
42,Estill,Price Less Foods,Grocery,"1012 Winchester Rd, Irvine, KY 40336",606-723-5338,37.71242,-83.97595,Everyday 8-9,"<a href = ""https://www.mypricelessfoods.com/"">Click here to access their website</a>",N/A,yes,Yes
43,Estill,Save-a-Lot,Grocery,"1290 Richmond Rd, Irvine, KY 40336",606-723-6372,37.699971,-83.993775,"Mon-Fri 8-9, Sat 8-10, Sun 8-9","<a href = ""https://savealot.com/grocery-stores/irvine-40336-24650/"">Click here to access their website</a>",N/A,yes,Yes
44,Fleming,Save-a-Lot,Grocery,"201 S Main Cross St, Flemingsburg, KY 41041",606-845-0647,38.421209,-83.734411,Everyday 9-9,"<a href = ""https://savealot.com/grocery-stores/flemingsburg-41041-24147/"">Click here to access their website</a>",N/A,Yes,Yes
45,Fleming,Dollar General,Grocery,"112 Clark St., Flemingsburg, KY 41041",937-795-4560,38.41866,-83.735902,Everyday 7-11pm,"<a href = ""https://www.dollargeneral.com/"">Click here to access their website</a>https://www.dollargeneral.com/",N/A,Yes,Yes
46,Fleming,Ken's Fresh Foods,Grocery,"110 Clark St, Flemingsburg, KY 41041",606-849-2366,38.418104,-83.737131,Everyday 7-9,"<a href = ""https://www.kensfreshfoods.com/"">Click here to access their website</a>",N/A,Yes,Yes
47,Floyd,McDowell IGA,Grocery,"9623 KY-122, McDowell, KY 41647",606-377-6911,37.458511,-82.749136,"Mon-Sat 7-10, Sun 9-9","<a href = ""https://mcdowelliga.net/"">Click here to access their website</a>",N/A,Yes,Yes
48,Floyd,Martin IGA,Grocery,"12405 Main St, Martin, KY 41649",606-285-3932,37.564116,-82.758651,"Mon-Sat 7-9, Sun 8-9","<a href = ""https://martiniga.net/"">Click here to access their website</a>",N/A,Yes,Yes
49,Floyd,Food City,Grocery,"429 University Dr, Prestonsburg, KY 41653",606-889-9375,37.685445,-82.782326,Mon-Sat 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/471/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=471"">Click here to access their website</a>",N/A,Yes,Yes
50,Floyd,Save-a-Lot,Grocery,"525 Village Dr, Prestonsburg, KY 41653",606-886-2230,37.655555,-82.782755,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/prestonsburg-41653-24611/"">Click here to access their website</a>",N/A,Yes,Yes
51,Floyd,Walmart,Grocery,"477 Village Dr, Prestonsburg, KY 41653",606-886-6681,37.655316,-82.78193,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/696/prestonsburg-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
52,Floyd,Triangle Market,Grocery,"98 Triangle Street, Martin, KY 41649",606-285-3513,37.560926,-82.760854,Mon-Fri,"<a href = ""https://www.facebook.com/TriangleMarket"">Click here to access their website</a>",N/A,Yes,Yes
53,Floyd,Save-a-Lot,Grocery,"39 Stephens Branch, Martin, KY 41649",606-285-9700,37.555682,-82.772569,"Mon-Sat 8-9, Sun 9-8","<a href = ""https://savealot.com/grocery-stores/martin-41649-23505/"">Click here to access their website</a>",N/A,Yes,Yes
54,Garrard,Save-a-Lot,Grocery,"140 Pleasant Retreat Dr, Lancaster, KY 40444",859-792-1679,37.602063,-84.591102,"Everyday, 8-9","<a href = ""https://savealot.com/grocery-stores/lancaster-40444-45147/"">Click here to access their website</a>",N/A,Yes,Yes
55,Green,Block City Grocery,Grocery,"4601 KY-218, Greensburg, KY 42743",270-565-5111,37.181468,-85.615487,"Mon-Sat 6-9, Sun 9-9","<a href = ""https://www.facebook.com/blockcityky/?rf=216530168863414"">Click here to access their website</a>",N/A,Yes,Yes
56,Greenup,Greenup Food Fair,Grocery,"1625 Ashland Rd, Greenup, KY 41144",606-473-9891,38.568188,-82.825314,Everyday 8-9,"<a href = ""http://www.foodfairmarkets.com/"">Click here to access their website</a>",N/A,Yes,Yes
57,Harlan,Food City,Grocery,"2478 US-421, Harlan, KY 40831",606-573-3311,36.825149,-83.322139,Everyday 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/437/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=437"">Click here to access their website</a>",N/A,Yes,Yes
58,Harlan,Save-a-Lot,Grocery,"93 Industrial Park Rd, Harlan, KY 40831",606-573-5891,36.834696,-83.326999,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/harlan-40831-24476/"">Click here to access their website</a>",N/A,Yes,Yes
59,Harlan,Cash Saver,Grocery,"416 S Main St, Harlan, KY 40831",606-573-5231,36.834696,-83.326999,Everyday 8-10,"<a href = ""https://www.harlancashsaver.com/WeeklyAd/Index"">Click here to access their website</a>",N/A,No,No
60,Harlan,Walmart,Grocery,"201 Walton Road, Harlan, KY 40831",606-573-2206,36.817516,-83.318128,Everyday 6-12am,"<a href = ""https://www.walmart.com/store/1743/harlan-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
61,Harlan,Don's Super Saver,Grocery,"200 Waldon Dr, Harlan, KY 40831",606-573-4063,36.819637,-83.319044,Everyday 8-10,"<a href = ""https://www.donssupersaver.com/"">Click here to access their website</a>",N/A,Yes,Yes
62,Harlan,Food City,Grocery,"1314 E Main St, Cumberland, KY 40823",606-589-4513,36.974868,-82.983236,Everyday 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/437/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=437"">Click here to access their website</a>",N/A,Yes,Yes
63,Harlan,Save-a-Lot,Grocery,"158 E Main St, Evarts, KY 40828",606-837-2300,36.865582,-83.193166,Everyday 8-10,"<a href = ""https://savealot.com/grocery-stores/evarts-40828-24477/"">Click here to access their website</a>",N/A,Yes,Yes
64,Harlan,Roper's Market,Grocery,"144 State Hwy 72, Baxter, KY 40806",606-573-1517,36.865582,-83.193166,Mon-Sat 8-4:30,N/A,N/A,Yes,Yes
65,Jackson,Town and Country Market,Grocery,"4368 KY-30, Annville, KY 40402",606-364-2323,37.319475,-83.971122,"Mon-Fri 5:30-11, Sat 7-11, Sun 8-11","<a href = ""https://www.facebook.com/pages/category/Gas-Station/Annville-Town-Country-Market-143267792372485/"">Click here to access their website</a>",N/A,Yes,Yes
66,Jackson,Dollar General,Grocery,"390 Main st. McKee, KY 40447",502-234-1920,37.430491,-83.99104,Everday 8-10,"<a href = ""https://www.dollargeneral.com/"">Click here to access their website</a>",N/A,Yes,Yes
67,Jackson,Save-a-Lot,Grocery,"258 US-421, McKee, KY 40447",606-287-8330,37.432734,-83.9815,"Mon-Sat 8-8, Sun 10-6","<a href = ""https://savealot.com/grocery-stores/mckee-40447-22754/"">Click here to access their website</a>",N/A,Yes,Yes
68,Jackson,Dollar General,Grocery,"10 Creech Hollow Rd, Tyner, KY 40486",606-364-6613,37.346036,-83.904381,Everyday 8-10,"<a href = ""https://www.dollargeneral.com/"">Click here to access their website</a>",N/A,Yes,No
69,Johnson,Food City,Grocery,"330 North Mayo Trail, Paintsville, KY 41240",606-789-8860,37.821375,-82.819871,Everyday 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/424/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=424"">Click here to access their website</a>",N/A,Yes,Yes
70,Johnson,Walmart Supercenter,Grocery,"470 No, S Mayo Trail, Paintsville, KY 41240",606-789-8920,37.823253,-82.825463,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1233/paintsville-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
71,Johnson,Save-a-Lot,Grocery,"229 N S Mayo Trail, Paintsville, KY 41240",606-789-8393,37.811055,-82.806704,"Mon-Sat 8-9, Sun 9-8","<a href = ""https://savealot.com/grocery-stores/paintsville-41240-23488/"">Click here to access their website</a>",N/A,Yes,Yes
72,Knott,Mousie Market,Grocery,"9888 KY-550, Mousie, KY 41839",606-946-2111,37.418835,-82.877506,Everday 11-8,"<a href = ""https://www.iga.com/"">Click here to access their website</a>",N/A,No,No
73,Knott,Casey's IGA,Grocery,"130 Holly Mill Mall Road, Hindman, KY 41822",606-785-4600,37.314492,-82.943827,"Mon-Sat 7-9, Sun 9-9","<a href = ""https://caseysiga.com/"">Click here to access their website</a>",N/A,Yes,Yes
74,Knott,Save-a-Lot,Grocery,"402 KY-899, Hindman, KY 41822",606-785-5665,37.31465,-82.939583,"Mon-Sat 7-9, Sun 10-8","<a href = ""https://savealot.com/grocery-stores/hindman-41822-24473/"">Click here to access their website</a>",N/A,Yes,Yes
75,Knott,Yoder's Country Market,Grocery,"1319 Hindman Bypass, Hindman, KY 41822",606-785-3344,37.31465,-82.939583,"Mon-Fri 9-5:30, Sat 10-3","<a href = ""https://www.yoderscountrymarket.net/Grocery/folder/41"">Click here to access their website</a>",N/A,Yes,Yes
76,Knox,IGA,Grocery,"193 Parkway Plaza, Barbourville, KY 40906",606-546-8320,36.859612,-83.869793,Everyday 7-10,"<a href = ""https://www.myiga.com/"">Click here to access their website</a>",N/A,Yes,No
77,Knox,Save-a-Lot,Grocery,"786 US-25E Scenic, Barbourville, KY 40906",606-546-8843,36.857346,-83.871891,Everyday 9-6,"<a href = ""https://savealot.com/grocery-stores/barbourville-40906-23471/"">Click here to access their website</a>",N/A,Yes,Yes
78,Knox,Kroger,Grocery,"14889 N Us, US-25E Scenic, Corbin, KY 40701",606-528-8630,36.959316,-84.075202,Everyday 7-10,"<a href = ""https://www.kroger.com/stores/details/024/00760?cid=loc_02400760_gmb"">Click here to access their website</a>",N/A,Yes,Yes
79,Laurel,Save-a-Lot,Grocery,"825 S Laurel Rd, London, KY 40741",606-864-3882,37.095279,-84.067259,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/london-40741-23473/"">Click here to access their website</a>",N/A,Yes,Yes
80,Laurel,Kroger,Grocery,"1805 N Main St, London, KY 40741",606-864-4311,37.138494,-84.099751,"Mon 7-11, Tues-Sun 7-10","<a href = ""https://www.kroger.com/stores/details/024/00331?cid=loc_02400331_gmb"">Click here to access their website</a>",N/A,Yes,Yes
81,Laurel,Willow Creek Market,Grocery,"9241 E Laurel Rd, London, KY 40741",606-864-0043,37.084997,-83.902405,"Mon-Fri 9-5, Sat 9-4",N/A,N/A,No,No
82,Laurel,EC Porter IGA,Grocery,"714 E 4th St, London, KY 40741",606-864-5145,37.084997,-83.902405,"Mon-Sat 7-9, Sun 8-9","<a href = ""https://porter.iga.com/"">Click here to access their website</a>",N/A,Yes,Yes
83,Laurel,Walmart Supercenter,Grocery,"1851 Highway 192 W, London, KY 40741",606-878-6119,37.11408,-84.091671,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1113/london-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
84,Laurel,Kroger,Grocery,"1732 KY-192, London, KY 40741",606-878-1254,37.106621,-84.089195,"Mon-Thurs 7-11, Fri-Sat 7-12, Sun 7-11","<a href = ""https://www.kroger.com/?cid=PDM-KROGER.GMB-LOCAL"">Click here to access their website</a>",N/A,Yes,Yes
85,"Laurel
",Walmart Supercenter,Grocery,"60 S Stewart Rd, Corbin, KY 40701",606-523-1770,36.972574,-84.102507,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1259/corbin-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
86,Lawrence,Walmart Supercenter,Grocery,"275 walton Dr, Louisa, KY 41230",606-673-4427,38.102213,-82.624198,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/4461/louisa-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
87,Lawrence,Save-a-Lot,Grocery,"Rt 7-Box 20110, Louisa, KY 41230",606-638-3605,38.12458,-82.623425,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/louisa-41230-23818/"">Click here to access their website</a>",N/A,Yes,Yes
88,Lawrence,Food City,Grocery,"70 Business US 23, Louisa, KY 41230",606-638-3434,38.117871,-82.619571,Everyday 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/433/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=433"">Click here to access their website</a>",N/A,Yes,Yes
89,Lee,Save-a-Lot,Grocery,"2093 KY-11, Beattyville, KY 41311",606-464-8437,37.548823,-83.724574,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/beattyville-41311-24458/"">Click here to access their website</a>",N/A,Yes,Yes
90,Lee,Jack's IGA,Grocery,"285 Main St, Beattyville, KY 41311",606-464-2707,37.572932,-83.710893,Everyday 9-8,"<a href = ""https://www.jacksigabeattyville.com/"">Click here to access their website</a>",N/A,Yes,Yes
91,Leslie,Save-a-Lot,Grocery,"92 KY-80, Hyden, KY 41749",606-672-3752,37.118853,-83.741236,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/hyden-41749-24739/"">Click here to access their website</a>",N/A,Yes,Yes
92,Leslie,Cox IGA Supermarket,Grocery,"21224 KY-80, Hyden, KY 41749",606-672-2070,37.151629,-83.372455,"Mon-Sat 7-9, Sun 9-8","<a href = ""https://www.iga.com/"">Click here to access their website</a>",N/A,Yes,Yes
93,Letcher,Food City,Grocery,"251 Medical Plaza Ln, Whitesburg, KY 41858",606-632-9680,37.125159,-82.842931,Everyday 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/436/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=436"">Click here to access their website</a>",N/A,Yes,Yes
94,Letcher,Save-a-Lot,Grocery,"136 Parkway Plaza Loop, Whitesburg, KY 41858",606-633-1884,37.123398,-82.839413,"Mon-Sat 8-9, Sun 9-8","<a href = ""https://savealot.com/grocery-stores/whitesburg-41858-23582/"">Click here to access their website</a>",N/A,Yes,Yes
95,Letcher,Walmart,Grocery,"350 Cs-1003, Whitesburg, KY 41858",606-633-0152,37.11702,-82.79496,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/552/whitesburg-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
96,Letcher,Price Less Foods,Grocery,"34 Whitesburg Plaza, Whitesburg, KY 41858",606-633-3086,37.116183,-82.796438,Everyday 7-10,"<a href = ""https://www.mypricelessfoods.com/"">Click here to access their website</a>",N/A,Yes,No
97,Letcher,Isom IGA,Grocery,"29 Isom Dr, Isom, KY 41824",606-633-9820,37.184116,-82.907006,"Mon-Sat 7-9, Sun 10-9","<a href = ""https://isom.iga.com/"">Click here to access their website</a>",N/A,Yes,Yes
98,Letcher,Frank's Market,Grocery,"32 Marshalls Branch, Jenkins, KY 41537",606-639-2118,37.206595,-82.58036,N/A,N/A,Approximate location,No,No
99,Lewis,Save-a-Lot,Grocery,"50 Market St, Vanceburg, KY 41179",606-796-2424,38.599406,-83.335159,Everyday 7-10,"<a href = ""https://savealot.com/grocery-stores/vanceburg-41179-45093/"">Click here to access their website</a>",N/A,Yes,Yes
100,Lewis,Ron's IGA,Grocery,"4577 KY-10, Tollesboro, KY 41189",606-798-3921,38.560933,-83.594921,"Mon-Sat 8-8, Sun 10-7","<a href = ""https://ronsiga.net/"">Click here to access their website</a>",N/A,Yes,Yes
101,Lincoln,Durham's Grocery,Grocery,"606 Lancaster St, Stanford, KY 40484",606-365-2716,37.532842,-84.661425,"Mon-Sat 7-8, Sun 8-8","<a href = ""https://www.durhamsgrocery.com/ads"">Click here to access their website</a>",N/A,No,Yes
102,Lincoln,Save-a-Lot,Grocery,"100 Lacy St, Stanford, KY 40484",606-365-1187,37.531752,-84.65226,"Mon-Sat 9-9, Sun 8-9","<a href = ""https://savealot.com/grocery-stores/stanford-40484-24738/"">Click here to access their website</a>",N/A,Yes,Yes
103,Lincoln,Walmart Supercenter,Grocery,"1283 US-27 N, Stanford, KY 40484",606-365-2153,37.547822,-84.646965,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/825/stanford-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
104,Madison,Aldi,Grocery,"798 Eastern Bypass, Richmond, KY 40475",855-955-2534,37.730503,-84.287053,Everyday 9-8,"<a href = ""https://www.aldi.us/en/weekly-specials/our-weekly-ads/"">Click here to access their website</a>",N/A,Yes,No
105,Madison,Walmart Supercenter,Grocery,"820 Eastern Bypass, Richmond, KY 40475",859-624-4330,37.728779,-84.283208,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/719/richmond-ky/details"">Click here to access their website</a>",N/A,Yes,Yes
106,Madison,Meijer,Grocery,"2013 Lantern Ridge Dr, Richmond, KY 40475",859-575-5010,37.737839,-84.333296,24/7,"<a href = ""https://www.meijer.com/shop/en/store/258"">Click here to access their website</a>",N/A,Yes,Yes
107,Madison,Kroger,Grocery,"890 Richmond Plaza, Richmond, KY 40475",859-624-1093,37.73127,-84.274249,Mon-Fri 8-10,"<a href = ""https://www.kroger.com/stores/details/024/00705?cid=loc_02400705PP_gmb"">Click here to access their website</a>",N/A,Yes,Yes
108,Madison,Save-a-Lot,Grocery,"5042 Atwood Dr, Richmond, KY 40475",859-623-4499,37.756622,-84.269793,"Mon-Sat 8-9, Sun 10-7","<a href = ""https://savealot.com/grocery-stores/richmond-40475-24654/"">Click here to access their website</a>",N/A,Yes,Yes
