OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,snap,wic,fm_senior,re_mat,re_num,re_lib_serves,re_type
11,Adair,Adair Child Support Office,Family Services,"424 Public Square # 24, Columbia, KY 42728",270-384-5932,37.103464,-85.306293,Mon-Fri 7-4,https://csws.chfs.ky.gov/csws/General/Landing.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,Adair,Lake Cumberland Community Services,Community Services,"23 Industry Drive Jamestown, KY 42629",270-384-2147,37.003971,-85.074532,Mon-Fri 8-4:30,http://www.lc-caa.org/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,Adair,Human Resources Department - Columbia,Community Services,"703 Jamestown St, Columbia, KY 42728",270-384-2163,36.984969,-85.062536,Mon-Fri 8-4:30,https://kentucky.gov/Pages/home.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,Adair,Kentucky Career Center - Columbia,Career Services,"969 Campbellsville Road Columbia, KY 42728",270-384-1741,37.114457,-85.300718,Mon-Fri 8-4:30,https://kcc.ky.gov/Pages/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,Adair,Adair County Public Library,Library,"307 Greensburg Street Columbia, KY 42728-1488",270-384-2472,37.104544,-85.308156,"Mon - Wed 8-5, Thurs 9-6, Fri 8-5, Sat 8-noon",http://adaircountypublicLibrary.com,N/A,N/A,N/A,N/A,N/A,N/A,Free computer usage and free WiFi,
16,Adair,Adair County Extension,Cooperative Extension Offices,"409 Fairground St. Columbia, KY 42728-0309",270-384-2317,37.104478,-85.296356,"Mon-Fri 8-4:30, closed daily 12-1",http://adair.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,Bath,Save-a-Lot - Owingsville,Grocery,"78 Creek Side Dr, Owingsville, KY 40360",606-674-9343,38.125215,-83.747512,"Mon-Sat 8-8, Sun 12-6",https://savealot.com/grocery-stores/owingsville-40360-24908/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
18,Bath,Bath County Farmer's Market,Farmers market,"2914 East Hwy 60 in Owingsville, Kentucky",606-336-0438,38.139189,-83.719727,Seasonal,https://www.facebook.com/bathkyfarmersmarket/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,Bath,Steve and Sons Recycling,Recycling Centers,"2839 S Hwy 211, Salt Lick, KY 40371",606-683-2057,38.1207983,-83.6174723,N/A,https://steve-and-sons-recycling.business.site/#details,N/A,N/A,N/A,N/A,"AL, FE, NONFE, CATBAT,",4,N/A,N/A
20,Bath,Christian Social Services - Owingsville,Family Services,"44 Coyle St, Owingsville, KY 40360",606-674-6906,38.143721,-83.764684,Tues-Fri 9:30-4:30,https://www.facebook.com/Christian-Social-Service-Center-Inc-252034821481803/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21,Bath,Bath County Memorial Library,Library,"24 West Main Street, P.O. Box 380 Owingsville, KY 40360-2015",606-674-2531,38.144855,-83.764481,Mon-Sat 9:30-5:30,https://www.bathLibrary.org/,N/A,N/A,N/A,N/A,N/A,N/A,"Help with test, resumes & more. Free computer access and digital resources. Room rentals.",
22,Bath,Sharpsburg Branch Library,Library,"7781 West Tunnel Hill Road Sharpsburg, KY 40374",606-247-2100,38.199676,-83.927013,Mon-Sat 9:30-5:30,https://www.bathLibrary.org/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,Bath,Bath County Extension,Cooperative Extension Offices,"2914 E Hwy 60 Owingsville, KY 40360-8815",606-674-6121,38.139417,-83.719961,"Mon-Fri 8-4:30, closed daily 12-1",http://bath.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,Bell,Kroger - Middlesboro,Grocery,"515 N 12th St, Middlesboro, KY 40965",606-248-3410,36.614314,-83.70408,"Mon-Sat 7-midnight, Sun 8-10",https://www.kroger.com/stores/details/024/00355?cid=loc_02400355_gmb,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
25,Bell,Save-a-Lot - Pineville,Grocery,"622 US-119, Pineville, KY 40977",606-337-5558,36.744747,-83.683224,"Everyday, 8-9",https://savealot.com/grocery-stores/pineville-40977-24467/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
26,Bell,Food City - Middlesboro,Grocery,"110 11th St, Middlesboro, KY 40965",606-248-0987,36.609105,-83.700741,"Everyday, 6-midnight",https://www.foodcity.com/stores/store-details/428/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=428,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
27,Bell,Walmart Supercenter - Middlesboro,Grocery,"Us Hwy 441, US-25E Scenic, Middlesboro, KY 40965",606-248-9087,36.609105,-83.700741,24/7,https://www.walmart.com/store/739/middlesboro-ky/details,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
28,Bell,Save-a-Lot - Middlesboro,Grocery,"415 Dansbury Ave, Middlesboro, KY 40965",606-248-0380,36.61362,-83.706107,Everyday 8-9,https://savealot.com/grocery-stores/middlesboro-40965-24471/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
29,Bell,Long's Pic Pac,Grocery,"134 Pine St, Pineville, KY 40977",606-337-3411,36.76334,-83.694297,"Mon-Sat 7-10, Sun 9-9",https://longspicpac.com/circular,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
30,Bell,Bell County Farmers Market,Farmers Market,"1915 Cumberland Avenue, Middlesboro, KY 40965",606-671-7677,36.607583,-83.712409,Seasonal,https://www.facebook.com/mborofarmersmarketinsidecratercity/,N/A,No,No,Yes,N/A,N/A,N/A,N/A
31,Bell,Bell Co Recycling Center,Recycling Centers,900 North 15th Street Middlesborro KY 40977,606-248-78161,36.618776,-83.708774,N/A,https://bellcounty.ky.gov/services/Pages/default.aspx,Also accepts motor oil,N/A,N/A,N/A,"GL, AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP, RUB",14,"Dropoff, curbside",Government facility
32,Bell,Robbins Recycling,Recycling Centers,"5424 US hwy 119 Calvin, KY 40813",606-337-3662,36.725703,-83.620638,N/A,https://b-m.facebook.com/Robbinsrecycling1991/,"Scrap metal dealer -- Robbins Recycling and we can turn your paper, plastic and metal into cash!",N/A,N/A,N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT",6,"Handler, dropoff, broker",Commercial recycler
33,Bell,Tri K Recycling - Middlesboro,Recycling Centers,225 Old 25e Loop Middlesboro KY 40965,606-248-6909,36.681033,-83.6854847,N/A,N/A,"email - buellboysauto@gmail.com Tristate scrap metal of Middlesboro, KY is a full service Recycling Center offering top dollar for your copper, aluminum brass and stainless steel. Bring your electric motors, insulated wiring, Christmas lights, bikes, washers, dryers, lamps to our yard",N/A,N/A,N/A,"AL, FE, NONFE, CARBAT, ST CANS, ESCRAP",6,"Dropoff, broker",Commercial recycler
34,Bell,Social Service Department - Pineville,Family Services,"211 Kentucky Ave, Pineville, KY 40977",606-337-6171,36.761666,-83.695549,Mon-Fri 8-5,https://www.dcfoffices.org/office/ky_40977_bell-county-department-of-children-and-Family Services-services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,Bell,Bell County WIC Program,Family Services,"111 21st St, Middlesboro, KY 40965",606-248-2862,36.607499,-83.71565,Mon-Fri 9-5,https://wicprogram.us/wic-program-provider/bell_county_health_department_wic_middlesboro_middlesboro_ky,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,Bell,US Social Security Administration - Middlesboro,Family Services,"10 SE Tech Dr, Middlesboro, KY 40965",800-772-1213,36.614427,-83.734961,Mon-Fri 9-4,https://www.ssa.gov/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,Bell,Southeast Community and Technical College Middlesboro Campus Unemployment Office,Career Services,"100 College Rd. Middlesboro, KY, 40965",606-248-0768,36.6102713,-83.7348372,Mon-Fri 8-4:30,https://www.unemploymentoffice.org/southeast-kentucky-Community Services-and-technical-college-middlesboro-campus-kentucky,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,Bell,Middlesboro - Bell County Public Library,Library,"126 South 20th Street P.O. Box 1677 Middlesboro, KY 40965-3677",606-248-4812,36.606287,-83.714346,"Mon-Fri 9-6, Sat 10-4",http://www.bellcpl.org/,N/A,N/A,N/A,N/A,N/A,N/A,"Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",
39,Bell,Pineville Public Library,Library,"214 Walnut Street, P.O. Box 1490 Pineville KY 40977-1490",606-337-3422,36.760734,-83.696553,"Mon-Fri 9-6, Sat 10-4",http://www.bellcpl.org/,N/A,N/A,N/A,N/A,N/A,N/A,"Bookmobile, free Community Room rental, Hoopla ebooks, free computer access",
40,Bell,Bell County Extension,Cooperative Extension Offices,"101 Courthouse Square Pineville, KY 40977-1635",606-337-2376,36.7620601,-83.6950678,"Mon-Fri 8-4:30, closed daily 12-12:30",http://bell.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41,Boyd,Aldi - Ashland,Grocery,"130 Russell Rd, Ashland, KY 41101",855-955-2534,38.493635,-82.668501,"Mon-Fri, 9-9, Sat-Sun 9-8",https://www.aldi.us/en/,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A
42,Boyd,"Walmart Supercenter - US-60, Ashland",Grocery,"12504 US-60, Ashland, KY 41102",606-929-9510,38.388509,-82.711228,24/7,https://www.walmart.com/store/2638/ashland-ky/details,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
43,Boyd,Save-a-Lot - Ashland,Grocery,"5850 US Route 60 Summit Plaza, Ashland, KY 41102",606-928-2318,38.436991,-82.685422,"Mon-Sat 9-9, Sun 11-7",https://savealot.com/grocery-stores/ashland-41102-23823/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
44,Boyd,"Wamart Supercenter -  River Hill Drive, Ashland",Grocery,"351 River Hill Dr, Ashland, KY 41101",606-329-0012,38.485726,-82.658322,24/7,https://www.walmart.com/store/1426/ashland-ky/details,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
45,Boyd,"Kroger - 12th Street, Ashland",Grocery,"711 12th St, Ashland, KY 41101",606-325-8231,38.477626,-82.649695,"Everday, 6-midnight",https://www.kroger.com/stores/details/029/00783?cid=loc_02900783_gmb,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
46,Boyd,"Kroger - Diederich Blvd, Ashland",Grocery,"370 Diederich Blvd, Ashland, KY 41101",606-325-8911,38.477626,-82.649695,Everday 6-midnight,https://www.kroger.com/stores/details/029/00796?cid=loc_02900796_gmb,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
47,Boyd,Ashland Food Fair,Grocery,"2912 Blackburn Ave, Ashland, KY 41101",606-329-2111,38.477626,-82.649695,Everyday 7-10,http://foodfairmarkets.com/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
48,Boyd,Hilltop Market,Grocery,"3466 13th St, Ashland, KY 41102",606-324-4624,38.455489,-82.66894,Mon-Sat 9-6,https://www.facebook.com/ArtripsHilltopMarket,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A
49,Boyd,Boyd County Farmers' Market,Farmer's Market,"Kyova 10 Theatre at Kyova Mall 10699 US Route 60 Ashland, Kentucky 41102",606-739-5184,38.40114,-82.71471,Seasonal,https://www.facebook.com/pages/Boyd-County-Farmers-Market/753180384812872,N/A,No,No,Yes,N/A,N/A,N/A,N/A
50,Boyd,B F Iron & Metal Inc,Recycling Centers,100 Joe Wells Rd Ashland KY 41102,304-638-2102,38.388599,-82.73224,N/A,N/A,"We Buy All Steel Products (Anything Magnetic) Cars, Tine Metal, Steel, Fences, Plates, I-Beams, And Much More. Anything A Magnet Can Stick To We Can Recycle",N/A,N/A,N/A,"FE, NONFE, ST CANS",3,"Dropoff, broker",Commercial recycler
51,Boyd,City of Ashland Recycling,Recycling Centers,13th Street Bridge Ashland KY,606-327-2040,38.452421,-82.613105,"Tues 6am - 10am, Thurs-Fri 3pm - 7pm, Sat 8am - 4pm",http://ashlandky.gov/departments/public_works/solidw,"The City of Ashland Kentucky is committed to protecting our environment and serving the community with our recycle program. The Ashland Recycling Center is located under the 13th Street Bridge. Effective September 27, 2018, the Ashland Recycling Center is open to City of Ashland residents only.  A city utility bill that includes a ""Garbage"" charge (along with a photo ID) OR a Kentucky Driver's License with an Ashland, KY address is required as proof of residency.",N/A,N/A,N/A,"AL, PL( HDPE, PET), OCC, ST CANS, ONP, MRP",6,Dropoff,Government facility
52,Boyd,Daniels Metals,Recycling Centers,12030 Paul Coffey Blvd Ashland KY 41102,606-928-8033,38.452421,-82.613105,N/A,N/A,Purchase Scrap Metal Email: LRDtrucking@gmail.com,N/A,N/A,N/A,"AL, FE, NONFE, CARBAT",4,"Dropoff, Broker, Other",Commercial recycler
53,Boyd,"DTR, Inc AKA Dalton Tires",Recycling Centers,2640 Hoods Creek Pike Ashland KY 41102,606-325-7717,38.481682,-82.690482,N/A,https://www.facebook.com/pages/Dalton-Tire-Sales/11,N/A,N/A,N/A,N/A,rubber,1,Dropoff,Commercial recycler
54,Boyd,Mansbach AKA Progress Metals Co,Recycling Centers,1900 Front Street Ashland KY 41101,606-329-9600,38.477791,-82.635449,N/A,http://www.columbusrecycling.com/locations/ashland-k,"Progress Metal Recycling Company is a scrap metal wholesaler primarily engaged in automotive scrap processing. Does not accept cans, gas tanks, or batteries.",N/A,N/A,N/A,FE NONFE,2,Process,Commercial recycler
55,Boyd,River City Recycling Inc,Recycling Centers,1837 River Cities Dr Ashland KY 41101,606-329-9305,38.372484,-82.755541,N/A,N/A,"Also accepts brass, copper and scrap metal. Call for material requirements.",N/A,N/A,N/A,"AL, FE, NONFE, CARBAT",4,"Process, dropoff",Commercial recycler
56,Boyd,Social Security Administration - Ashland,Family Services,"1405 Greenup Ave #132, Ashland, KY 41101",800-772-1213,38.480667,-82.640184,Mon-Fri 9-4,https://www.ssa.gov/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,Boyd,Social Services Department - Ashland,Family Services,"1539 Greenup Ave, Ashland, KY 41101",606-920-2007,38.480044,-82.638912,Mon-Fri 8-5,https://www.dcfoffices.org/office/ky_41105_byod-county-social-services-office,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,Boyd,Cares,Community Services,"2516 Carter Ave, Ashland, KY 41101
",606-324-2949,38.471565,-82.628701,"Mon-Fri 10-5:30, closed daily 3:30-4:30",https://boydcountycares.org/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59,Boyd,United Way - NE KY,Community Services,"2000 Carter Ave suite d, Ashland, KY 41101",606-325-1810,38.475078,-82.635601,Mon-Fri 8-4,https://www.uwnek.org/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,Boyd,Habitat for Humanity - Ashland,Community Services,"1544 Winchester Ave, Ashland, KY 41101",606-324-1325,38.478611,-82.639936,,https://www.habitat.org/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
61,Boyd,Kentucky Career Center - Ashland,Career Services,"1844 Carter Ave. Ashland, KY 41101",606-920-2024,38.4761277,-82.6371549,Mon-Fri 8-4:30,https://kcc.ky.gov/Pages/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
62,Boyd,Boyd County Public Library,Library,1740 Central Avenue Ashland KY 41101-7653,606-329-0090,38.47552,-82.639818,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5",http://www.thebookplace.org/,N/A,N/A,N/A,N/A,N/A,N/A,"Free WiFi, meeting room rentals, Book club",
63,Boyd,Catlettsburg Branch Library,Library,2704 Louisa Street Catlettsburg KY 41129-1114,606-739-8332,38.416453,-82.598136,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5",http://www.thebookplace.org/,N/A,N/A,N/A,N/A,N/A,N/A,"Free WiFi, meeting room rentals, Book club",
64,Boyd,Kyova Branch Library,Library,"10699 US Route 60, Suite 920 Ashland KY 41102",606-929-5346,38.401561,-82.714304,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5",http://www.thebookplace.org/,N/A,N/A,N/A,N/A,N/A,N/A,"Free WiFi, meeting room rentals, Book club",
65,Boyd,Boyd County Extension,Cooperative Extension Offices,"2420 Center Street Catletsburg, KY 41129-1279",606-739-5184,38.418348,-82.598082,Mon-Fri 8-4:30,http://boyd.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
66,Breathitt,Save-a-Lot - Jackson,Grocery,"1471 KY-15, Jackson, KY 41339",606-666-9451,37.568826,-83.401118,Everday 8-9,https://savealot.com/grocery-stores/jackson-41339-24740/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
67,Breathitt,Jackson IGA,Grocery,"723 KY-15, Jackson, KY 41339",606-666-8188,37.550963,-83.358781,"Mon-Sat 8-9, Sun 9-9",https://www.jacksoniga.com/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
68,Breathitt,Jiffy Mart,Grocery,"800 KY-15, Jackson, KY 41339",606-666-5986,37.557616,-83.367225,"Mon-Sat 6-10, Sun 6:30-10",http://www.jiffymartstores.com/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
69,Breathitt,Coomer Produce,Produce Market,"203 KY-15, Jackson, KY 41339",606-568-0964,37.558122,-83.379019,Everyday 9-5,https://www.facebook.com/Coomerproduce/,N/A,No,No,N/A,N/A,N/A,N/A,N/A
70,Breathitt,Breathitt County Farmer's Market,Farmers' Market,"3215 Quicksand Rd Jackson, Kentucky 41339",606-666-8812,37.535879,-83.347957,Seasonal,https://www.facebook.com/BreathittFarmersMarket/,N/A,No,No,Yes,N/A,N/A,N/A,N/A
71,Breathitt,Breathitt County Recycling Center,Recycling Centers,434 Hwy 1812 North Jackson KY 41339,606-666-3818,37.563845,-83.366139,N/A,https://breathittcounty.ky.gov/Pages/departments.aspx,N/A,N/A,N/A,N/A,"AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP",10,Dropoff,Government facility
72,Breathitt,Social Security Administration - Jackson,Family Services,"850 KY-15 N, Jackson, KY 41339",800-772-1213,37.56113,-83.396343,Mon-Fri 9-4,https://www.ssa.gov/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
73,Breathitt,Health & Family Services - Jackson,Family Services,"1041 College Ave, Jackson, KY 41339",606-666-7506,37.554662,-83.3818,N/A,https://chfs.ky.gov/Pages/index.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
74,Breathitt,Middle KY Community Action - Jackson,Community Services,"171 Howell Heights Jackson, KY 41339",606-666-5902,37.554662,-83.3818,N/A,https://www.mkcap.org/index.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75,Breathitt,Middle KY Community Action Local Office,Community Services,"1137 Main Street, Suite 105 ackson, KY 41339",606-666-5902,37.554662,-83.3818,N/A,https://www.mkcap.org/index.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76,Breathitt,Interfaith of Breathitt County,Community Services,"1148 Main St, Jackson, KY 41339",606-666-7760,37.554164,-83.38383,Mon-Thurs 9-1,https://www.facebook.com/InterfaithBC/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,Breathitt,Kentucky Career Center - Jackson,Career Services,"500 Brown Street Jackson , KY 41339",606-666-2369,37.553626,-83.383426,Mon-Fri 8-4:30,https://kcc.ky.gov/Pages/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,Breathitt,Breathitt County Public Library,Library,"1024 College Avenue Jackson, KY 41339-1016",606-666-5541,37.553284,-83.383306,"Mon-Fri 8-5, Sat 9-4",http://www.breathittcountyLibrary.com/,N/A,N/A,N/A,N/A,N/A,N/A,"Free computer access, free WiFI, meeting rooms, expanded children's area",
79,Breathitt,Breathitt County Extension,Cooperative Extension Offices,"1155 Main St. Jackson, KY 41339",606-666-8812,37.554195,-83.38309,"Mon-Fri 8-4:30, closed daily from 12-1",http://breathitt.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
80,Carter,Save-a-Lot - Olive Hill,Grocery,"131 Jessica Ln, Olive Hill, KY 41164",606-286-5053,38.297666,-83.180985,Everyday 8-9,https://savealot.com/grocery-stores/olive-hill-41164-24863/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
81,Carter,Ralph's Food Fair,Grocery,"630 Carol Malone Blvd, Grayson, KY 41143",606-474-5522,38.33935,-82.942182,Everyday 7-10,http://www.foodfairmarkets.com/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
82,Carter,Save-a-Lot - Grayson,Grocery,"584 KY-1947, Grayson, KY 41143",606-474-6003,38.344797,-82.949568,Everyday 8-9,https://savealot.com/grocery-stores/grayson-41143-23820/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
83,Carter,Grayson Market,Farmers' Market,"94 Fairground Dr, Grayson KY 41143",606-474-6686,38.332203,-82.902964,Seasonal,https://carter.ca.uky.edu/Farmer%27s%20Market,N/A,No,No,Yes,N/A,N/A,N/A,N/A
84,Carter,Olive Hill Market,Farmers' Market,"131 Jessica Ln, Olive Hill, KY 41164",606-474-6686,38.297666,-83.180985,Seasonal,https://carter.ca.uky.edu/Farmer%27s%20Market,N/A,No,No,Yes,N/A,N/A,N/A,N/A
85,Carter,Hall Brothers Recycling,Recycling Centers,1897 E. Midland Trail Grayson KY 41143,606-474-5205,38.335073,-82.898503,N/A,N/A,Scrap metal dealer,N/A,N/A,N/A,"AL, FE, NONFE, CARBAT",4,"Handler, dropoff, broker",Commercial recycler
86,Carter,Child Support - Grayson,Family Services,"300 W Main St #301 Grayson, KY 41143",855-306-8959,38.333436,-82.9517,Mon-Fri 8-4:30,https://csws.chfs.ky.gov/csws/General/Landing.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87,Carter,Northeast KY Community Action - Olive Hill,Community Services,"539 Hitchins Ave, Olive Hill, KY 41164",606-286-4443,38.298809,-83.18657,N/A,http://nkcaa.net/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
89,Carter,Cabinet for Families & Children - Grayson,Family Services,"873 E. Midland Trail Grayson, KY - 41143",606-474-8989,38.341894,-82.932203,Mon-Fri 8-4:30,https://www.dcfoffices.org/office/ky_41143_carter-county-dcf-office,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90,Carter,"Bethany House Christian Service Center, Inc.",Community Services,"106 Hillside St, Olive Hill, KY 41164",606-286-5045,38.298448,-83.174446,N/A,https://www.facebook.com/BETHANYHOUSECSC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91,Carter,Kentucky Career Center - Grayson,Career Services,"1758 E. Midland Trail Grayson, KY 41171",606-474-2412,38.333993,-82.905201,Mon-Fri 8-4:30,https://kcc.ky.gov/Pages/default.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
92,Carter,Carter County Public Library,Library,116 West Main Street Grayson KY 41143-6465,606-475-1528,38.332888,-82.949118,Tues-Sat 10:30-4:30,http://www.cartercountypublicLibrary.info/,N/A,N/A,N/A,N/A,N/A,N/A,Carter County Genealogy,
93,Carter,Olive Hill Branch Library,Library,120 Comet Drive Olive Hill KY 41164,606-286-8070,38.303418,-83.1728,Tues-Sat 10:30-4:30,http://www.cartercountypublicLibrary.info/,N/A,N/A,N/A,N/A,N/A,N/A,Carter County Genealogy,
94,Carter,Carter County Extension,Cooperative Extension Offices,"94 Fairground Dr Grayson, KY 41143-9520",606-474-6686,38.331952,-82.903752,Mon-Fri 8-4:30,http://carter.ca.uky.edu/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
95,Casey,IGA - Liberty,Grocery,"150 Liberty Sq. Shopping Center, Liberty, KY 42539",606-787-6262,37.318457,-84.927906,"Mon-Sat 6-9, Sun 7-9",https://www.libertyiga.com/,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A
96,Casey,Casey County Discount Marketplace,Grocery,"1190 KY-910, Liberty, KY 42539",606-787-0957,37.198444,-84.949385,"Mon-Thurs 8-7, Fri 8-5, Sun 8-6",https://www.caseydiscount.com/,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
97,Casey,Lavern's Country Market,Grocery,"52 S Fork Creek Rd, Liberty, KY 42539",606-787-9845,37.196415,-84.948339,Mon-Sat 8-5,https://www.facebook.com/pages/Laverns-Country-Market/687037444730128,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A
