OBJECTID,county,name,sector,address,phone,y,x,hours,website,re_lib_serves,free_wifi
255,Harlan,Evarts Public Library,library,104 Harlan Street P.O. Box 100 Evarts KY 40828-0100,606-837-9703,36.86384,-83.193276,"Mon 9-5, Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-5","<a href = ""http://www.harlancountylibraries.org"">Click here to access their website</a>","Women's club, ebooks, free WiFi",Yes
256,Harlan,Harlan County Public Library,library,107 North Third Street Harlan KY 40831,606-573-5220,36.847186,-83.320197,"Mon 9-5, Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-5","<a href = ""http://www.harlancountylibraries.org"">Click here to access their website</a>","Women's club, ebooks, free WiFi",Yes
257,Harlan,Rebecca Caudill Public Library,library,"310 West Main Street Cumberland, KY 40823-2335",606-589-2409,36.974876,-82.992414,"Mon 9-5, Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-5","<a href = ""http://www.harlancountylibraries.org"">Click here to access their website</a>","Women's club, ebooks, free WiFi",Yes
287,Johnson,Johnson County Public Library,library,444 Main Street Painstville KY 41240-0788,606-789-4355,37.813394,-82.808218,"Mon 9:30-5, Tues 9:30-8, Wed 9:30-5, Thurs 9:30-8, Fri 9:30-5, Sat 9-2","<a href = ""http://www.johnsoncountypubliclibrary.org"">Click here to access their website</a>","Free computer access, printing services, bookmobile, meeting rooms, free WiFi, free community workshop",Yes
338,Laurel,Laurel County Public Library,library,120 College Park Drive London KY 40741-1414,606-864-5759,37.116019,-84.060935,"Mon-Fri 9-8, Sat 9-5, Sun 1-5","<a href = ""http://www.laurellibrary.org"">Click here to access their website</a>","Free computer access, printing services, free WiFi, bookmobile, outreach services",Yes
352,Lawrence,Lawrence County Public Library,library,102 West Main Street Louisa KY 41230,606-638-4497,38.114723,-82.604689,"Mon 9-5, Tues 9-6, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-1","<a href = ""http://lcplky.org"">Click here to access their website</a>","Free WiFi, quiet rooms, bookmobile, teen and childrens programs, ebooks",Yes
386,Letcher,Blackey Public Library,library,"295 Main Street Loop, P.O. Box 337 Blackey KY 41804-0037",606-633-4013,37.139918,-82.980009,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org/blackey.html"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes
387,Letcher,Harry M. Caudill Memorial Library,library,220 Main Street Whitesburg KY 41858,606-633-7547,37.117649,-82.825929,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes
388,Letcher,Fleming Neon Public Library,library,1008 Highway 317 P.O. Box 236 Neon KY 41840,606-855-4565,37.192277,-82.713489,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes
390,Letcher,Jenkins Public Library,library,9543 Highway 805 P.O. Box 687 Jenkins KY 41537-0687,606-832-4101,37.172571,-82.633255,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes
479,McCreary,McCreary County Public Library,library,6 North Main Street P.O. Box 8 Whitley City KY 42653-0008,606-376-8738,36.725726,-84.469377,"Mon 9-7, Tues-Wed 9-5:30, Thurs 9-7, Fri 9-5:30, Sat 9-4","<a href = ""http://www.mccrearylibrary.org"">Click here to access their website</a>","Free WiFi, free computer access, bookmobile",Yes
505,Montgomery,Camargo Branch Library,library,4460C Camargo Road Mt. Sterling KY 40353,859-499-4244,37.993694,-83.887448,"Mon-Thurs 9-8, Fri-Sat 9-6",N/A,"Arts and Crafts club, book clubs, free WiFi",Yes
516,Morgan,Morgan County Public Library,library,151 University Avenue West KY 41472-1140,606-743-4151,37.899106,-83.288633,"Mon-Tues 9-7, Wed 9-5, Thurs-Fri 9-7, Sat 10-3","<a href = ""http://www.youseemore.com/mcpl"">Click here to access their website</a>","Free computer and internet access, bookmobile, meeting rooms, teen and children services, computer classes, Ancestry library",Yes
523,Owsley,Owsley County Public Library,library,185 Highway 11 Booneville KY 41314,606-593-5700,37.4760016,-83.6797524,"Mon-Wed 9-5, Thurs 9-8, Fri 9-5","<a href = ""https://www.facebook.com/pages/category/Library/Owsley-County-Public-Library-1745629035657364/"">Click here to access their website</a>","Free computer and internet access, copy and printing services, tutoring services, meeting rooms and GED classes",Yes
549,Perry,Perry County Public Library,library,289 Black Gold Blvd. Hazard KY 41701-2604,606-436-2475,37.251066,-83.206349,"Mon-Fri 9-7, Sat 8-4","<a href = ""http://perrycountylibrary.org"">Click here to access their website</a>","Meeting rooms, auditorium, bookmobile and outreach services, teen room, genealogy, 3D printing, exam proctoring, study rooms, free computer and internet access, free printing services",Yes
595,Powell,Powell County Public Library,library,725 Breckenridge Street Stanton KY 40380-2018,606-663-4511,37.852714,-83.86086,"Mon-Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 10-3","<a href = ""http://www.pcplky.org"">Click here to access their website</a>","Free computer and internet access, copy services, Ancestry.com, family/adult/teen/children programs, bookmobile and outreach services",Yes
643,Rockcastle,Rockcastle County Public Library,library,60 Ford Drive Mount Vernon KY 40456-2148,606-256-2388,37.350156,-84.33607,"Mon - Fri 9:30-6, Sat 9:30-2","<a href = ""http://www.rockcastlelibrary.org"">Click here to access their website</a>","Free computer and internet access, bookmobile, ebooks, copy services, children programs",Yes
663,Rowan,Rowan County Public Library,library,175 Beacon Hill Drive Morehead KY 40351,606-784-7137,38.186577,-83.479513,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5","<a href = ""http://www.rowancountylibrary.org/"">Click here to access their website</a>","Free computer and internet access, meeting rooms, notary services, genealogy room,",Yes
682,Russell,Russell County Public Library,library,535 North Main Street Jamestown KY 42629,270-343-7323,36.991036,-85.068566,"Mon-Thurs 8-6, Fri 8-4, Sat 9-1","<a href = ""http://www.russellcountylibrary.com"">Click here to access their website</a>","Free computer and internet access, copy services, notary services, book-a-librarian,outreach services, Kids and teen programs",Yes
693,Wayne,Wayne County Public Library,library,157 Rolling Hills Boulevard Monticello KY 42633,606-348-8565,36.854672,-84.843944,"Monday 9-5:30, Tues 9-7:30, Wed 9-5:30, Thurs 9-7:30, Fri 9-5:30, Sat 8-4","<a href = ""http://www.waynecountylibrary.org"">Click here to access their website</a>","Free computer and internet access, printing services, community meeting rooms, bookmobile, teen, child and adult programs",Yes
714,Whitley,Corbin Public Library,library,215 Roy Kidd Avenue Corbin KY 40701-1200,606-528-6366,36.949506,-84.094769,"Mon-Tues, 10-7, Wed 10-2, Thurs-Fri 10-7, Sat 10-2","<a href = ""http://www.corbinkylibrary.org"">Click here to access their website</a>","Community programs, ebooks, free internet and computer access, printing services, exam proctoring services",Yes
715,Whitley,Whitley County Public Library,library,"285 South Third Street Williamsburg, KY 40769-1265",606-549-0818,36.741787,-84.15853,"Mon 9-8, Tues-Wed 9-6, Thurs 9-8, Fri 9-6, Sat 9-2","<a href = ""http://www.whitleylibrary.org"">Click here to access their website</a>","Free WiFi, bookmobile, ebooks, community programs, genealogy services, community room",Yes
725,Wolfe,Wolfe County Public Library,library,164 KY HWY 15 North Campton KY 41301,606-668-6571,37.731144,-83.55424,"Mon 9-4:30, Tues 9-6, Wed 9-4:30, Thurs 9-6, Fri 9-4:30, Sat 9-1","<a href = ""http://wcplib.org"">Click here to access their website</a>","Free computer and internet access, ebooks, Driver's License Study Computer Station, help with job searches and benefits reporting, genealogy services",Yes
