OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,re_mat,re_num,AL
55,Boyd,River City Recycling Inc,Recycling centers,1837 River Cities Dr Ashland KY 41101,606-329-9305,38.372484,-82.755541,N/A,N/A,"Also accepts brass, copper and scrap metal. Call for material requirements.","AL, FE, NONFE, CARBAT",4,Yes
71,Breathitt,Breathitt County Recycling Center,Recycling centers,434 Hwy 1812 North Jackson KY 41339,606-666-3818,37.563845,-83.366139,N/A,"<a href = ""https://breathittcounty.ky.gov/Pages/departments.aspx"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP",10,Yes
85,Carter,Hall Brothers Recycling,Recycling centers,1897 E. Midland Trail Grayson KY 41143,606-474-5205,38.335073,-82.898503,N/A,N/A,Scrap metal dealer,"AL, FE, NONFE, CARBAT",4,Yes
100,Casey,Casey County Road Dept,Recycling centers,1175 Campbellsville Street Liberty KY 42539,606-787-0703,37.32032,-84.947487,N/A,N/A,N/A,"GL, AL, FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, MRP, RUB",13,Yes
109,Clark,CRHC Freedom Metals,Recycling centers,425 Gawthrop Drive Winchester KY 40391,859-744-7555,38.029462,-84.239474,"Mon-Fri 9- 4, Sat 8-4","<a href = ""http://freedommetals.com/contact/"">Click here to access their website</a>","CRHC Freedom Metals, LLC, one of the regionâ€™s largest scrap dealers, offers great prices on all types of ferrous and nonferrous metals. Fax: 859.744.7559","AL, FE, NONFE, CARBAT, ST CANS, ESCRAP",6,Yes
110,Clark,Stuff Recycling,Recycling centers,6169 Lexington Ave Winchester KY 40391,859-745-7882,38.028928,-84.278781,N/A,"<a href = ""http://www.stuffrecycling.com/"">Click here to access their website</a>","Bring your ferrous scrap (metal that sticks to a magnet like iron, steel or an automobile) or nonferrous scrap (like aluminum, copper, brass, and wire) and get paid in cash.","AL, FE, NONFE, CARBAT, ST CANS, WHITE",6,Yes
112,Clark,Winchester Municipal Utilities Recycling Center,Recycling centers,150 Maple Street Winchester KY 40391,859-744-1170,37.997074,-84.176483,24/7,"<a href = ""http://www.wmutilities.com/Views/public/Content.aspx?"">Click here to access their website</a>","WMU Voluntary Recycling Center at 175 N. Maple Street is open 24 hours per day, 7 days per week. The recycling center is located behind WMU's Main Office at 150 N. Main Street; however, it is only accessible from the WMU N. Maple Street entrance. Any questions please call 859-744-1170","GL, AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, WHITE, ONP, ESCRAP",9,Yes
135,Clinton,Clinton County Recycling Center,Recycling centers,136 Clinton Street Albany KY 42602,606-688-2746,36.687488,-85.129532,N/A,"<a href = ""https://clintoncounty.ky.gov/Pages/default.aspx"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPSORT, ONP",8,Yes
136,Clinton,Morrison Recycling & TS,Recycling centers,235 Transfer Station Road Albany KY 42602,606-387-9902,36.751328,-85.201057,Mon-Fri 7-4,N/A,N/A,"GL, AL, PL( HDPE, PET), OCC, CARBAT, OPMIX, ONP, UO, MRP",9,Yes
145,Cumberland,Cumberland County Recycling Program,Recycling centers,"1805 South Main Street, Burkesville KY 42717",270-406-2707,36.770243,-85.359474,"Mon and Fri 7-3,  Tues and Thurs 7-11","<a href = ""https://cumberlandcounty.ky.gov/deptsagen/Pages/Re"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPSORT, ST CANS, ONP, ESCRAP, MRP, RUB",11,Yes
146,Cumberland,Scott's Scrap Yard,Recycling centers,1012 Free Ferry Rd Burkesville KY 42717,270-433-6111,36.77019,-85.36435,N/A,N/A,N/A,"AL, FE, NONFE, CARBAT, ST CANS, WHITE",6,Yes
165,Estill,Advanced Disposal,Recycling centers,2700 Winchester Rd Irvine KY 40336,606-723-5552,37.737238,-83.984627,N/A,"<a href = ""https://www.advanceddisposal.com/for-home.aspx"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OPMIX, ST CANS, ONP, MRP",7,Yes
166,Estill,C & S Re Cycling,Recycling centers,5565 Richmond Rd Irvine KY 40336,606-723-9101,37.701965,-84.064336,N/A,N/A,Scrap Metal Dealer,"AL, NONFE, ST CANS",3,Yes
167,Estill,Cox Recycling,Recycling centers,485 McKee Road Irvine KY 40336,606-599-7793,37.701965,-84.064336,N/A,N/A,"We purchase all ferrous materials copper, aluminum, etc, all non magnetic metals. We purchase all non ferrous materials which includes appliances, and any other magnetic metals. We specialize in escrap, (computer equipment, electronic and all there components.","AL, FE, NONFE, ST CANS, ESCRAP",5,Yes
168,Estill,Estill County Recycling Center,Recycling centers,532 Kirkland Ave Irvine KY 40336,606-723-5580,37.682957,-83.957684,Mon-Thurs 7-5:30,"<a href = ""http://estillky.com/index.php/estill-road-department-rec"">Click here to access their website</a>",Containers should be rinsed and lids removed.,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, ESCRAP, MRP",11,Yes
179,Fleming,Flemingsburg City Maintenance Garage,Recycling centers,140 West Electric Ave Flemingsburg KY 41041,606-845-9307,38.422285,-83.735947,N/A,"<a href = ""http://www.flemingcountyky.us/road.asp"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OCC, OPMIX, WHITE, ONP, MRP",8,Yes
195,Floyd,T&B Recycling 440 Ivyton Road Salyersville KY 41465,Recycling centers,T&B Recycling 440 Ivyton Rd Salyersville KY 41465,606-874-9675,37.702296,-82.978871,N/A,N/A,Scrap metal dealer,"AL, NONFE",2,Yes
196,Floyd,The Mountain Metal Company,Recycling centers,35 Depot Road Prestonsburg KY 41653,606-886-2102,37.672113,-82.781642,"Mon-Fri 8-4, Sat 8-11:30am","<a href = ""http://mountainmetalr.com/home.html"">Click here to access their website</a>",N/A,"AL, FE, NONFE, CARBAT",4,Yes
212,Garrard,Lancaster-Garrard Co. Recycling,Recycling centers,400 South Campbell St Lancaster KY 40444,859-792-1868,37.614201,-84.578106,"Mon-Fri 9-5, Sat 9-4","<a href = ""http://garrardcounty.us/index.php/solid-waste-recycling"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OCC, CARBAT, OPMIX, ST CANS, ONP, ESCRAP",9,Yes
213,Garrard,Triple T Metal Corporation,Recycling centers,240 George Wilson Rd Lancaster KY 40444,859-548-5509,37.747983,-84.619057,N/A,"<a href = ""https://www.facebook.com/Triple-T-Metals-Corporation"">Click here to access their website</a>",N/A,"AL, FE, NONFE, ST CANS",4,Yes
219,Green,Greensburg Recycling Center,Recycling centers,214 Industrial Drive Greensburg KY 42743,270-932-4298,37.245893,-85.492234,N/A,"<a href = ""http://www.greensburgonline.com/Facilities/Facility/Det"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, ONP",6,Yes
244,Harlan,Baxter Metal Co,Recycling centers,44 Yard Loop Baxter KY 40806,606-573-3200,36.875642,-83.300258,N/A,"<a href = ""https://www.facebook.com/pages/category/Business-S"">Click here to access their website</a>",N/A,"AL, FE, NONFE, ST CANS, WHITE",5,Yes
245,Harlan,Harlan County Recycling,Recycling centers,15 S. Highway 413 Baxter KY 40806,606-573-9423,36.875642,-83.300258,N/A,N/A,N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, ST CANS, WHITE, ONP, ESCRAP, MRP, RUB",12,Yes
266,Jackson,Jackson County Transfer Station,Recycling centers,McCammon RidgeRoad McKee KY 40447,606-287-7688,37.415351,-83.963531,N/A,"<a href = ""https://jacksoncounty.ky.gov/Services/Pages/Departm"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, ESCRAP, MRP, RUB",15,Yes
267,Jackson,Jackson Metals,Recycling centers,1344 HWY 421 N McKee KY 40447,606-287-8908,37.415351,-83.963531,N/A,"<a href = ""https://www.facebook.com/pg/JacksonMetalRecycling/"">Click here to access their website</a>",N/A,"AL, FE, NONFE, CARBAT",4,Yes
295,Knott,Childers Enterprises,Recycling centers,55 Holly hills Villa Road Hindman KY 41822,606-785-3911,37.314941,-82.942778,N/A,"<a href = ""https://www.facebook.com/pages/Childers-Enterprises/"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, MRP",8,Yes
296,Knott,Knott Transfer Station and REcycling Dropoff,Recycling centers,256 Transfer Station Road Hindman KY 41822,606-785-0249,37.318598,-82.973004,N/A,N/A,N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, MRP, RUB, EGC,",14,Yes
308,Knox,Graceway AKA Barbourville Iron & Metals,Recycling centers,137 Concrete Plant Road Barbourville KY 40906,606-546-3434,36.85016,-83.856438,N/A,N/A,N/A,"AL, FE, NONFE, ST CANS",4,Yes
309,Knox,Lewis Recycling,Recycling centers,Culton Hill Road Flat Lick KY 40935,606-622-2228,36.835526,-83.779283,N/A,N/A,N/A,"AL, FE, NONFE",3,Yes
310,Knox,T&W Auto Salvage,Recycling centers,8588 US HWY 25E Flat Lick KY 40935,606-542-5577,36.877588,-83.823036,N/A,N/A,N/A,"AL, FE, NONFE, ST CANS",4,Yes
331,Laurel,London Regional Recycle Facility,Recycling centers,950 TLC Lane London KY 40741,606-864-5521,37.120108,-84.056849,24/7,"<a href = ""https://www.londonky.gov/departments/recycling-progr"">Click here to access their website</a>","We are working hard to accommodate all of your recycling needs.  If you have any questions, feel free to contact us anytime at 606-864-5521. coflsaedge@gmail.com Curbside recycling available for the city of London.","GL, AL, PL( HDPE, PET, PS, PP, PVC, LDPE, OTHER), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, ESCRAP, MRP, EGC",16,Yes
346,Lawrence,Boyd's Scrapyard AKA TB Recycling,Recycling centers,20857 US HWY 23 N Louisa KY 41230,606-686-1108,38.158604,-82.644263,N/A,"<a href = ""https://www.facebook.com/Boydsautorecycling/"">Click here to access their website</a>",N/A,"AL, FE, NONFE",3,Yes
347,Lawrence,Lawrence County Recycling Center,Recycling centers,175 Business Way Louisa KY 41230,606-638-4102,38.097194,-82.620389,N/A,"<a href = ""http://lawrencekentucky.com/category/recycle-center/"">Click here to access their website</a>","Markets to: Lexington area. &nbsp;2 Marathon hy-press vertical balers, 20/ton, 230 volt, forklift, van. Email: josborne@lycomonline.com","AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, MRP",8,Yes
366,Leslie,Leslie County Recycling Center,Recycling centers,24778 HWY 421 Hyden KY 41749,606-672-4103,37.14716,-83.411094,N/A,"<a href = ""http://www.lesliecoky.com/government/solid-waste-coo"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, ONP, ESCRAP, MRP",8,Yes
380,Letcher,Baker's Scrap Metal and Recycling,Recycling centers,68 Ray Baker Hollow Thornton KY 41855,606-632-0007,37.1848025,-82.7780985,N/A,N/A,"Bakers Scrap Metal & Recycling is located in Thornton, Kentucky. This organization primarily operates in the Scrap and Waste Materials business","AL, FE, NONFE, ST CANS",4,Yes
381,Letcher,City of Whitesburg Recycling Center,Recycling centers,1447 HWY 931 South Whitesburg KY 41858,606-632-2267,37.135746,-82.823932,"Mon - Fri 7:30-4, Sat 7:30-12:30.","<a href = ""https://www.facebook.com/pg/CityofWhitesburgRecycl"">Click here to access their website</a>","Market to: Northern KY, Lexington area. Equipment: 4 balers, 3 work, forklift/bobcat, paper shredder, spine cutter, 2 belt lines.","AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, MRP",9,Yes
395,Lewis,Lewis County Recycling Center,Recycling centers,199 County Drive Vanceburg KY 41179,606-796-0624,38.590529,-83.350549,Mon-Fri 7-3:30,"<a href = ""https://lewiscounty.ky.gov/Departments-and-Services/"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET, OTHER), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, ESCRAP, MRP, RUB",16,Yes
396,Lewis,Vanceburg Recycling,Recycling centers,90 River Street Vanceburg KY 41179,606-796-6003,38.604004,-83.323793,N/A,"<a href = ""http://www.cityofvanceburg.com/publicworks"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET, OTHER), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, ESCRAP",11,Yes
397,Lewis,Watson Salvage Yard,Recycling centers,607 Kilbreth Lane Vanceburg KY 41179,606-796-9197,38.457481,-83.502931,N/A,N/A,Salvage and scrap metal dealer,"AL, FE, NONFE, CARBAT, ST CANS, UO",6,Yes
407,Lincoln,Eastern Kentucky Recycling,Recycling centers,345 Main Street Crab Orchard KY 40419,606-355-2322,37.455776,-84.501521,Mon-Fri 8-4,"<a href = ""www.easternkentuckyrecycling.com"">Click here to access their website</a>",N/A,"AL, FE, NONFE, ST CANS",4,Yes
408,Lincoln,Lincoln Co. Recycling Center,Recycling centers,553 KY HWY 698 Stanford KY 40484,606-365-9779,37.4995,-84.656397,N/A,"<a href = ""http://www.lincolnky.com/departments/solid_waste.php"">Click here to access their website</a>","Also accept old magazines-residential mix. Market to: cardboard, mixed bales - Rumpke, e waste - E-cyclers, Scrap metal, cans - Eastern, KY","AL, PL( HDPE, PET), FE, OCC, OPMIX, ST CANS, WHITE, ONP",8,Yes
427,Madison,Berea College,Recycling centers,310 N. Main Street,859-985-3844,37.576206,-84.289259,N/A,N/A,FOR BEREA COLLEGE STAFFAND STUDENTS ONLY. DROP-OFF BINS AT MANY CAMPUS LOCATIONS. ALSO ACCEPTS MAGAZINES,"GL, AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP",8,Yes
430,Madison,Madison Co. SW Recycling Program,Recycling centers,321 North Madison Ave Richmond KY 40475,859-624-4709,37.727307,-84.289143,N/A,"<a href = ""https://madisoncountyky.us/index.php/recycling-progra"">Click here to access their website</a>",Bins for the recycling of electronic items are located at 208 Clarksville Lane and sent to Winchester for recycling. This service is offered free to the citizens of Madison County.,"AL, OCC, OPMIX, OPSORT, ST CANS, ONP, ESCRAP",7,Yes
431,Madison,Richmond Scrap Iron & Metal,Recycling centers,1209 Berea Road Richmond KY 40475,859-623-6226,37.752523,-84.2878,N/A,"<a href = ""https://richmond-scrap-iron-metal-inc.business.site/"">Click here to access their website</a>","Our operations include complete shredding, shearing and sorting facilities, baling, torching and auto crushing, as well as automobile and appliance decommissioning. Our operations include a complete fleet of trucks, containers and trailers, any size or type recycling container your operation may need.","AL, FE, NONFE, CARBAT, ST CANS, WHITE",6,Yes
432,Madison,Richmond-Madison Co. Recycling Ctr.,Recycling centers,550 Recycle Drive Richmond KY 40475,859-625-0202,37.726422,-84.290442,N/A,"<a href = ""https://www.richmond.ky.us/recycling-faqs-information/"">Click here to access their website</a>",Our innovative drop chute design makes your visit to the center a pleasant one. Simply open the doors and place materials inside the chutes. The materials are then ready for our employees to gather on the inside. This design saves both time and money,"GL, AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP",8,Yes
434,Madison,Webb's Car Crushing,Recycling centers,315 Waco Loop Rd Waco KY 40385,859-369-7747,37.752523,-84.2878,N/A,N/A,Salvage and scrap metal dealer,"AL, FE, NONFE, CARBAT, OPSORT",5,Yes
453,Magoffin,Magoffin County Recycling Center,Recycling centers,201 East Maple Street Salyersville KY 41465,606-349-6336,37.752189,-83.066233,N/A,N/A,Offer pickup from businesses and schools. Email: frankie_collett@hotmail.com,"AL, PL( HDPE, PET, OTHER), NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, MRP",9,Yes
454,Magoffin,T&B Recycling and Transport,Recycling centers,440 Ivyton Road Salyersville KY 41465,606-349-1108,37.702306,-82.978868,Mon-Fri 8-4:30,"<a href = ""https://www.facebook.com/pages/T-B-Recycling-Trans"">Click here to access their website</a>",N/A,"AL, FE, NONFE, CARBAT",4,Yes
475,McCreary,Grundy's Iron & Metal,Recycling centers,"Inez, Kentucky",606-354-3606,36.644566,-84.435908,N/A,N/A,Salvage scrap metal dealer,"AL, FE, NONFE, ST CANS",4,Yes
476,McCreary,Co. Recycling/TS Center,Recycling centers,Cabin Creek Rd. Stearns KY 42647,606-376-2413,36.701426,-84.46307,N/A,"<a href = ""http://www.mccrearycounty.com/Departments.html"">Click here to access their website</a>",Accepts escrap and used motor oil,"AL, PL( HDPE, PET, OTHER), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP",12,Yes
497,Montgomery,Rumpke Recycling Inc.,Recycling centers,30 Lairson Road Jeffersonville KY 40337,859-498-3322,37.950248,-83.952076,Mon-Fri 8-5,"<a href = ""https://www.rumpke.com/"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OCC, CARBAT, OPMIX, ST CANS, ONP, UO, MRP",10,Yes
511,Morgan,Grassy Auto Parts,Recycling centers,6374 US HWY 460 West West Liberty KY 41472,606-743-3167,37.866951,-83.342274,Mon-Fri 8-5,"<a href = ""http://www.grassyautoparts.com/index.htm"">Click here to access their website</a>","Buy back car bodies, appliances. Call for requirements.","AL, FE, NONFE, CARBAT, ST CANS, WHITE",6,Yes
512,Morgan,Morgan Co. Solid Waste & Recycling,Recycling centers,239 Co. Garage Road West Liberty KY 41472,606-743-4845,37.904944,-83.242463,Mon-Fri 8-4,"<a href = ""https://morgancounty.ky.gov/Pages/Services.aspx"">Click here to access their website</a>",N/A,"AL, OCC, OPMIX, OPSORT, ST CANS, ONP, UO, MRP",8,Yes
533,Perry,Dixie Recycling,Recycling centers,2647 N. Main Street Hazard KY 41701,606-435-0287,37.270296,-83.189297,Mon-Fri 9-4,"<a href = ""https://www.facebook.com/pages/category/Community/"">Click here to access their website</a>",Call for material requirements. Formerly Zip Recycling,"AL, FE, NONFE, CARBAT",4,Yes
534,Perry,Hazard Recycling AKA Gorman Hollow,Recycling centers,105 Gorman Hollow Road Hazard KY 41701,606-439-1863,37.240819,-83.198651,Mon-Fri 7-4,N/A,Also accept magazines and paperback books.,"GL, AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, ONP",7,Yes
535,Perry,Perry County Maintenance Garage & 2 Dropoff Trailers,Recycling centers,2715 Christopher Road Hazard KY 41701,606-439-0149,37.240819,-83.198651,Mon-Fri 8-4,"<a href = ""https://perrycounty.ky.gov/da/Pages/Solid-Waste.aspx"">Click here to access their website</a>","We accept any type of electronics you may have: old computers, TVs, microwaves, stoves, and anything that has or once had a cord. This service is provided to you free of charge.","AL, PL( PET, OTHER), OCC, ST CANS, ONP, ESCRAP, MRP",7,Yes
537,Perry,Wright's Recycling,Recycling centers,43 Ready Mix Dr Hazard KY 41701,606-436-0903,37.286588,-83.170643,N/A,N/A,Scrap Metal Dealer,"AL, FE, NONFE, OCC, CARBAT, UO",6,Yes
570,Pike,Black Gem Park (County Drop-off),Recycling centers,Black Gem Road Pikeville KY 41501,606-432-6245,37.6442481,-82.2649189,N/A,N/A,Approximate location,"AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, MRP",8,Yes
571,Pike,Pike County Solid Waste,Recycling centers,170 Ford Mountain Road Pikeville KY 41501,606-631-0902,37.568361,-82.453139,N/A,"<a href = ""http://www.pikecountyky.gov/?page_id=31"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, ONP, UO, MRP, RUB, EGC",14,Yes
592,Powell,Powell County Transfer Station,Recycling centers,2479 Stanton Road Stanton KY 40380,606-481-9474,37.838728,-83.89572,Mon-Fri 7:30- 5,N/A,N/A,"GL, AL, PL( HDPE, PET), NONFE, OCC, OPMIX, WHITE, ONP",8,Yes
614,Pulaski,Midstate Auto,Recycling centers,1106 Govers lane Ferguson KY 42533,606-679-4339,37.069312,-84.58841,N/A,N/A,Auto salvage,"AL, FE, NONFE, ST CANS",4,Yes
615,Pulaski,Pulaski Regional Recycling Center,Recycling centers,218 W HWY 80 Somerset KY 42503,606-677-0320,37.092129,-84.623936,N/A,"<a href = ""http://pcgovt.com/solid-waste-and-recycling/"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP, EGC",14,Yes
617,Pulaski,"Somerset Scrap Metal, Inc. AKA River Metals",Recycling centers,905 Crane Road Ferguson KY 42553,606-679-2448,37.092129,-84.623936,N/A,"<a href = ""http://www.rmrecycling.com/locations/somerset/"">Click here to access their website</a>",Scrap metal dealer,"AL, FE, NONFE, CARBAT, ST CANS, UO",6,Yes
640,Rockcastle,Rockcastle County Recycling Center,Recycling centers,2528 South Wilderness Road Mount Vernon KY 40456,606-256-1902,37.339914,-84.3022642,N/A,"<a href = ""http://www.rockcastlecountyky.com/"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, ESCRAP, MRP",14,Yes
651,Rowan,Advance Disposal Local Sanitation Landfill,Recycling centers,300 Old Phelps Road Morehead KY 40351,606-784- 6544,38.184643,-83.551022,N/A,N/A,N/A,"AL, PL( HDPE, PET), OCC, ST CANS, ONP",5,Yes
652,Rowan,Caudill's Recycling,Recycling centers,11445 Cranston Rd Morehead KY 40351,606-784-4077,38.338585,-83.404845,"Mon-Fri. 8-5, Sat. 8-1",N/A,"Call for material requirements. Must separate all items. Accepts alternators, starters, transmissions (pan and fluid must be removed.)","AL, FE, NONFE, CARBAT, ST CANS",5,Yes
653,Rowan,Henry's Recycling,Recycling centers,2155 Cranston Rd Morehead KY 40351,606-784-2464,38.230298,-83.460379,"Mon- Fri 9-5, Sat 9-12","<a href = ""https://henrysrecycling.com/"">Click here to access their website</a>",N/A,"AL, FE, NONFE, CARBAT, ST CANS",5,Yes
654,Rowan,Morehead Rowan Community Recycling Center,Recycling centers,325 Triplett Street Morehead KY 40351,606-784-1250,38.230298,-83.460379,"Mon-Fri 8:30-4:30, Sat 9:30-1:30","<a href = ""https://moreheadrecycling.org/"">Click here to access their website</a>","Also accepts grocery bags, shrink-wrap, magazines, books, and paperboard.","GL, AL, PL( HDPE, PET, PP, LDPE), OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP",11,Yes
673,Russell,Russell Co. Recycling Facility,Recycling centers,199 Landfill Road Russell Springs KY 42642,270-585-1416,37.037956,-85.061021,Mon-Fri 7:30-3:30,N/A,N/A,"GL, AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, MRP",10,Yes
704,Whitley,Cedar Ridge Ministries Recycling,Recycling centers,537 South 10th Street Williamsburg KY 40769,606-549-1372,36.7682174,-84.1595885,"Mon, Tues, Thurs, Fri 9-3","<a href = ""http://www.cedaridgeministries.org/recycling-services/"">Click here to access their website</a>",ALSO ACCEPTS MAGAZINES,"AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, ONP",6,Yes
705,Whitley,City of Corbin Recycling,Recycling centers,701 Main Street Corbin KY 40701,606-523-6532,36.942802,-84.094468,Mon-Fri 7 -3:30,"<a href = ""https://corbin-ky.gov/corbin-recycling/"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, ONP",7,Yes
720,Wolfe,Wolf County Transfer Station,Recycling centers,2190 Quillen Chapel Road Campton KY 41301,606-668-7354,37.74824,-83.586799,"Mon-Fri 8-4, Sat 8-12",N/A,N/A,"GL, AL, PL( HDPE, PET), NONFE, ST CANS, WHITE",6,Yes
