OBJECTID,county,name,sector,address,phone,y,x,hours,website,fm_senior
18,Elliott,Elliott County Farmers Market,Farmer's Market,"2944 South Kentucky 7 Sandy Hook, KY 41171",606-738-6400,38.067075,-83.164341,Seasonal,"<a href = ""https://www.facebook.com/ElliottCountyFarmersMarkett/?fref=ts%2Fpath#anchor"">Click here to access their website</a>",Yes
19,Estill,Estill County Farmers' Market,Farmer's Market,"30 South Irvine Road, Irvine, KY 40336",606-726-0679,37.694176,-83.977737,Seasonal,"<a href = ""https://www.facebook.com/estillcountyfarmersmarket/"">Click here to access their website</a>",Yes
21,Fleming,Fleming County Farmer's market,Farmer's Market,"1384 Elizaville Rd, Flemingsburg, KY 41041",606-845-4641,38.420921,-83.759612,Seasonal,N/A,Yes
23,Floyd,Farmer's Market,Farmer's Market,"361 N. Lake Drive Prestonsburg, Ky 41653",606-339-4424,37.675444,-82.778566,Seasonal,"<a href = ""https://www.facebook.com/Floydcfmarket/"">Click here to access their website</a>",Yes
25,Garrard,Garrard County Farmers Market,Farmer's Market,"117 Lexington St Lancaster, Kentucky 40444",859-339-2665,37.620534,-84.57872,Seasonal,"<a href = ""https://www.facebook.com/GarrardCFarmersM/"">Click here to access their website</a>",Yes
26,Greenup,Greenup County Farmers Market,Farmers Market,"Advance Memorial United Methodist Church  1007 Bellefonte Road Flatwoods, KY 41139",606-836-0201,38.515108,-82.720325,Seasonal,"<a href = ""https://www.facebook.com/Greenup-County-Farmers-Market-552621841925051/"">Click here to access their website</a>",Yes
28,Harlan,Harlan County Farmers Market,Farmers Market,"201 S. Main St Harlan, Kentucky 40831",606-505-6069,36.845965,-83.322726,Seasonal,"<a href = ""https://www.facebook.com/harlancountyfarmersmarket/"">Click here to access their website</a>",Yes
29,Jackson,Jackson County Farmers Market (Bond Memorial Park),Farmer's Market (Friday),"US-421, McKee, KY 40447",606-287-7693,37.504242,-84.174524,Seasonal,"<a href = ""https://jackson.ca.uky.edu/content/jackson-county-farmers-market"">Click here to access their website</a>",yes
30,Jackson,Jackson County Regional Food Center,Farmer's Market (Monday),"366 State Hwy 3443, Tyner, KY 40486",606-364-3436,37.73145,-84.275559,Seasonal,"<a href = ""https://www.facebook.com/JacksonCountyRegionalFoodCenter/"">Click here to access their website</a>",yes
32,Johnson,Johnson County Farmers' Market,Farmer's Market,"826 F. M. Stafford, Paintsville, Ky 41240",606-789-8108,37.808089,-82.798013,Seasonal,"<a href = ""https://www.facebook.com/JohnsonCountyFarmersMarket01/"">Click here to access their website</a>",Yes
34,Knott,Knott County Farmers Market,Farmers Market,"56 Education Lane Hindman, Kentucky 41822",606-785-5329,37.33475,-82.977312,Seasonal,"<a href = ""https://www.facebook.com/KnottCFM/"">Click here to access their website</a>",Yes
35,Knox,Knox County Farmers' Market,Farmers Market,"Knox County Extension Pavilion 215 Truehaft Rd, Barbourville, KY",606-627-1810,36.850476,-83.86595,Seasonal,"<a href = ""https://www.facebook.com/knoxcountyfarmersmarket/"">Click here to access their website</a>",Yes
39,Laurel,London-Laurel County Farmers' Market,Farmers Market,"529 S Main St London, Kentucky 40741",606-864-4167,37.12585,-84.081637,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Farmers-Market/London-Laurel-County-Farmers-Market-105850682843290/"">Click here to access their website</a>",Yes
41,Lawrence,Lawrence County Farmers Market,Farmers Market,"249 Industrial Park Road,Louisa, 41230",606-673-9495,38.096421,-82.619246,Seasonal,"<a href = ""https://lawrence.ca.uky.edu/content/farmers-market"">Click here to access their website</a>",Yes
44,Letcher,Letcher County Farmers Market,Farmers Market,"Veterans Memorial Parking Lot, 100 E Main St, Whitesburg, KY, 41858",606-634 9468,37.117181,-82.824773,Seasonal,"<a href = ""https://www.facebook.com/WhitesburgLetcherCountyFarmersMarket/?rf=275717472568415"">Click here to access their website</a>",Yes
46,Lewis,Lewis County Farmers Market,Farmers Market,"67 Commercial Dr Vanceburg, KY 41179",606-796-2732,38.59064,-83.326719,Seasonal,"<a href = ""https://www.facebook.com/lewiscountyfarmersmarket/"">Click here to access their website</a>",yes
48,Lincoln,Lincoln County Farmers Market,Farmers Market,"567 Goshen Road Stanford, KY 40484",606-669-0772,37.53819,-84.645083,Seasonal,"<a href = ""https://www.facebook.com/LCFarmersMarket/"">Click here to access their website</a>",Yes
49,Madison,Madison County Farmers Market,Farmers Market,"109 East Irvine St. Richmond, Kentucky",859-925-9936,37.748332,-84.292858,Seasonal,"<a href = ""https://www.facebook.com/MadisonKYFarmersMarket/"">Click here to access their website</a>",Yes
52,Magoffin,Magoffin County Farmers Market,Farmers Market,"333 West Maple Street Salyersville, KY 41465",606-349-3216,37.751718,-83.072976,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Product-Service/Magoffin-County-Farmers-Market-178449496305110/"">Click here to access their website</a>",Yes
53,Martin,Martin County Farmers Market,Farmers Market,"9 Holy St Inez, Kentucky 41224",606-298-7742,37.865677,-82.540306,Seasonal,"<a href = ""https://www.facebook.com/pages/Martin-County-Farmers-Market/180280112675101"">Click here to access their website</a>",Yes
54,McCreary,McCreary County Farmers Market,Farmers Market,"Soil Conservation Garage, 299 Wilburn K Ross Highway Stearns, KY 42647
",606-376-3008,36.702527,-84.464791,Seasonal,"<a href = ""https://www.facebook.com/McCrearyCountyFarmersMarket/"">Click here to access their website</a>",Yes
55,Menifee,Menifee County Farmers' Market,Farmers Market,"62 Back Street Frenchburg, Kentucky 40322",606-768-3724,37.951819,-83.628147,Seasonal,"<a href = ""https://www.facebook.com/Menifee-County-Farmers-Market-1412859525644869/"">Click here to access their website</a>",Yes
57,Montgomery,Montgomery County Farmers' Market,Farmers Market,"153 South Maysville Street Mount Sterling, Kentucky 40353",859-279-2205,38.054453,-83.941222,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Farmers-Market/Montgomery-County-KY-Farmers-Market-999391673524365/"">Click here to access their website</a>",Yes
59,Morgan,Morgan County Farmers' Market,Farmers Market,"219 W Main St West Liberty, Kentucky 41472",606-743-3292,37.915301,-83.260901,Seasonal,"<a href = ""https://www.facebook.com/morgancofarmersmarket/"">Click here to access their website</a>",Yes
61,Owsley,Owsley County Farmers' Market,Farmers Market,"Shepherds Lane Booneville, KY 41314",606-593-5109,37.476029,-83.665002,Seasonal,"<a href = ""https://www.facebook.com/Owsley-County-Farmers-Market-483318505393817/"">Click here to access their website</a>",Yes
62,Perry,Perry County Farmers' Market,Farmer's Market,"Perry Park Road 420 Main Street, Hazard, KY 41701",571-217-5913,37.282943,-83.209918,Seasonal,"<a href = ""https://www.facebook.com/PerryCountyFarmersMarket/"">Click here to access their website</a>",Yes
63,Pike,Pikeville Farmers' Market,Farmers Market,"130 Adams Ln, Pikeville, KY 41501",606-432-2534,37.485078,-82.545437,Seasonal,"<a href = ""https://www.facebook.com/PikevilleFarmersMarket/"">Click here to access their website</a>",Yes
64,Powell,Powell County Farmers' Market in Stanton,Farmers Market,"91 N Main St, Stanton, KY 40380",606-663-6405,37.844569,-83.858758,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Community-Organization/Powell-County-Farmers-Market-569811056469409/"">Click here to access their website</a>",Yes
65,Powell,Powell County Farmers' Market in Clay City,Farmers Market,"Highway 15, Clay City, KY, 40312",606-663-6405,37.864927,-83.934141,Seasonal,"<a href = ""https://www.facebook.com/pages/category/Community-Organization/Powell-County-Farmers-Market-569811056469409/"">Click here to access their website</a>",Yes
68,Pulaski,The Market on Main,Produce Market,"3661 S Hwy 27 suite c, Somerset, KY 42501",606-677-6725,37.047944,-84.626474,"Mon-Sat 10-6, Sun 12-5","<a href = ""https://www.facebook.com/pg/MarketOnMainKY/posts/?ref=page_internal"">Click here to access their website</a>",Yes
70,Pulaski,Pulaski Growers Farmers' Market,Farmers Market,"East Mt Vernon St Somerset, Kentucky 42501",606-305-6647,37.092701,-84.601822,Seasonal,"<a href = ""https://www.facebook.com/Pulaski-Growers-Farmers-Market-654606937940884/"">Click here to access their website</a>",yes
71,Pulaski,Somerset Farmers' Market,Farmers Market,4150 South Hwy 27 Somerset KY 42501,606-679 6361,37.036482,-84.626042,Seasonal,"<a href = ""https://www.facebook.com/Somerset-Farmers-Market-219538324723901/"">Click here to access their website</a>",yes
72,Rockcastle,Rockcastle Farmer's Market,Farmers Market,"120 Richmond Street Mount Vernon, Kentucky 40456",606-308-2418,37.354698,-84.339916,Seasonal,"<a href = ""https://www.facebook.com/RockcastleFarmersMarket/"">Click here to access their website</a>",Yes
74,Rowan,Rowan County Farmers Market,Farmers Market,"201 Rowan Street Morehead, KY 40351",606-784-5457,38.183569,-83.431502,Seasonal,"<a href = ""https://www.facebook.com/rowancountyfarmersmarket/"">Click here to access their website</a>",Yes
78,Wayne,Wayne County Farmers' Market,Farmers Market,"40 South Main St. Monticello, Kentucky 42633",N/A,36.82925,-84.850262,Seasonal,"<a href = ""https://www.facebook.com/wckyfarmersmarket/"">Click here to access their website</a>",Yes
79,Whitley,Williamsburg Market,Farmers Market,"Cumberland Ave Williamsburg, KY 40769",606-549-1430,36.741931,-84.159339,Seasonal,"<a href = ""https://whitley.ca.uky.edu/FarmersMarket"">Click here to access their website</a>",Yes
80,Whitley,Corbin Market,Farmers Market,"108 S Main St, Corbin, KY 40701",606-549-1430,36.946922,-84.096532,Seasonal,"<a href = ""https://www.facebook.com/WCFarmersMarket/"">Click here to access their website</a>",Yes
81,Wolfe,Wolfe County Farmers Market,Farmers Market,"31 N Washington Street Campton,  KY 41301",606-668-3712,37.740995,-83.549076,Seasonal,"<a href = ""https://wolfe.ca.uky.edu/"">Click here to access their website</a>",Yes
