OBJECTID,county,name,sector,address,phone,y,x,hours,website,re_lib_serves,free_wifi,com_access,bookmobile,meeting_rooms,e_audio,test_prep
160,Elliott,Rocky J. Adkins Public Library,library,"207 S KY-7 P.O. 750 Sandy Hook, KY 41171-0750",606-738-5796,38.089746,-83.126258,Mon-Frid 8:30-5,"<a href = ""https://www.facebook.com/ECPLRocks/"">Click here to access their website</a>",Ebooks,N/A,N/A,N/A,N/A,Yes,N/A
172,Estill,Estill County Public Library,library,"246 Main Street Irvine, KY 40336-1099",606-723-3030,37.702929,-83.974995,"Mon-Fri 10-6, Sat 10-3","<a href = ""https://estillpublib.org/"">Click here to access their website</a>","Free computer access, free WiFi, free notary services, printing services, bookmobile, computer classes",Yes,Yes,Yes,N/A,N/A,N/A
183,Fleming,Fleming County Public Library,library,"202 Bypass Boulevard Flemingsburg, KY 410141-1298",606-845-7851,38.41654,-83.751438,"Mon 8-6, Tues 8-8, Mon 8-6, Thurs 8-8, Fri 8-5, Sat 8-3","<a href = ""http://www.youseemore.com/fleming"">Click here to access their website</a>","ebooks, bookmobile, children services, book clubs",Yes,Yes,Yes,Yes,Yes,Yes
205,Floyd,Floyd County Public Library,library,161 North Arnold Avenue Prestonsburg KY 41653-1269,606-886-2981,37.668148,-82.774891,"Mon 8:30-5, Tues 8:30-6:30, Wed 8:30-5, Thurs 8:30-6:30, Fri 8:30-5, Sat 8:30-1","<a href = ""http://www.fclib.org"">Click here to access their website</a>","Printing services, free computer access, meeting rooms, book clubs, geneology room, free WiFi, free programs, test proctoring, bookmobile",Yes,Yes,Yes,Yes,N/A,Yes
206,Floyd,Eastern Branch Library,library,"10983 KY Route 80 Eastern, KY 41622",606-377-2860,37.506349,-82.814515,"Mon 8:30-5, Tues 8:30-6:30, Wed 8:30-5, Thurs 8:30-6:30, Fri 8:30-5, Sat 8:30-1","<a href = ""http://www.fclib.org"">Click here to access their website</a>","Printing services, free computer access, meeting rooms, book clubs, geneology room, free WiFi, free programs, test proctoring, bookmobile",Yes,Yes,Yes,Yes,N/A,Yes
216,Garrard,Garrard County Public Library,library,"101 Lexington Street Lancaster, KY 40444-1155",859-792-3424,37.619905,-84.578732,"Mon 9-5, Tues 9-8, Wed 9-5, Thurs 9-8, Fri 9-5, Sat 9-3","<a href = ""http://garrardlibrary.org/"">Click here to access their website</a>","Job search assistant, research help, help with computer services, book clubs, teen game nights",Yes,N/A,N/A,N/A,N/A,N/A
223,Green,Green County Public Library,library,112 West Court Street Greensburg KY 42743-1562,270-932-7081,37.261188,-85.502566,"Mon 8:30-6:30, Tues 8:30-4:30, Wed 8:30-12:30, Thurs 8:30-4:30, Fri 8:30-4:30, Sat 8:30-12:30","<a href = ""http://www.gcpl.info"">Click here to access their website</a>","Printing services, book clubs, outreach services, children services",N/A,N/A,N/A,N/A,N/A,N/A
230,Greenup,Flatwoods Branch Library,library,1705 Argillite Road Flatwoods KY 41139,606-836-3771,38.524198,-82.716311,"Mon-Tues 10-8, Wed 10-5, Thurs 10-8, Fri-Sat 10-5","<a href = ""www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",N/A,N/A,Yes,N/A,Yes,Yes
231,Greenup,Greenup County Public Library,library,"508 Main Street Greenup, KY 41144",606-473-6514,38.576868,-82.835767,"Mon 9-8, Tues-Wed 9-5, Thurs 9-8, Sat 9-2","<a href = ""http://www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",N/A,N/A,Yes,N/A,Yes,Yes
232,Greenup,McKell Branch Library,library,"22 McKell Lane South Shore, KY 41175",606-932-4478,38.723388,-82.946916,"Mon 9-8, Tues-Fri 9-5, Sat 9-2","<a href = ""www.youseemore.com/greenup/"">Click here to access their website</a>","Hoopla ebooks, bookmobile,genealogy services, online test prep",N/A,N/A,Yes,N/A,Yes,Yes
255,Harlan,Evarts Public Library,library,104 Harlan Street P.O. Box 100 Evarts KY 40828-0100,606-837-9703,36.86384,-83.193276,"Mon 9-5, Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-5","<a href = ""http://www.harlancountylibraries.org"">Click here to access their website</a>","Women's club, ebooks, free WiFi",Yes,N/A,N/A,N/A,Yes,N/A
256,Harlan,Harlan County Public Library,library,107 North Third Street Harlan KY 40831,606-573-5220,36.847186,-83.320197,"Mon 9-5, Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-5","<a href = ""http://www.harlancountylibraries.org"">Click here to access their website</a>","Women's club, ebooks, free WiFi",Yes,N/A,N/A,N/A,Yes,N/A
257,Harlan,Rebecca Caudill Public Library,library,"310 West Main Street Cumberland, KY 40823-2335",606-589-2409,36.974876,-82.992414,"Mon 9-5, Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-5","<a href = ""http://www.harlancountylibraries.org"">Click here to access their website</a>","Women's club, ebooks, free WiFi",Yes,N/A,N/A,N/A,Yes,N/A
274,Jackson,Jackson County Public Library,library,338 North Main Street McKee KY 40447,606-287-8113,37.43051,-84.000347,"Mon 8:30-6, Tues-Wed 8:30-5, Thurs 8:30-6, Fri 8:30-5, Sat 10-2","<a href = ""http://www.jacksoncolibky.com"">Click here to access their website</a>","Community room, veterans virtual living room, bookmobile, online test prep, work services, children and teen services",N/A,N/A,Yes,Yes,N/A,Yes
287,Johnson,Johnson County Public Library,library,444 Main Street Painstville KY 41240-0788,606-789-4355,37.813394,-82.808218,"Mon 9:30-5, Tues 9:30-8, Wed 9:30-5, Thurs 9:30-8, Fri 9:30-5, Sat 9-2","<a href = ""http://www.johnsoncountypubliclibrary.org"">Click here to access their website</a>","Free computer access, printing services, bookmobile, meeting rooms, free WiFi, free community workshop",Yes,Yes,Yes,Yes,N/A,N/A
302,Knott,Knott County Public Library,library,238 Highway 160 South P.O. Box 667 Hindman KY 41822,606-785-5412,37.335311,-82.976879,Mon-Fri 8:30-4:30,"<a href = ""http://www.knottcountylibrary.com"">Click here to access their website</a>","online homework help for kids, free computer access, copy and printing services",N/A,Yes,N/A,N/A,N/A,N/A
319,Knox,Knox County Public Library,library,"206 Knox Street Barbourville, KY 40906-1428",606-546-5339,36.866634,-83.887463,"Mon-Wed 9-5, Thurs 12-7, Fri 9-5, Sat 9-1","<a href = ""http://knoxpubliclibrary.com"">Click here to access their website</a>","Free computer access, bookmobile",N/A,Yes,Yes,N/A,N/A,N/A
338,Laurel,Laurel County Public Library,library,120 College Park Drive London KY 40741-1414,606-864-5759,37.116019,-84.060935,"Mon-Fri 9-8, Sat 9-5, Sun 1-5","<a href = ""http://www.laurellibrary.org"">Click here to access their website</a>","Free computer access, printing services, free WiFi, bookmobile, outreach services",Yes,Yes,Yes,N/A,N/A,N/A
352,Lawrence,Lawrence County Public Library,library,102 West Main Street Louisa KY 41230,606-638-4497,38.114723,-82.604689,"Mon 9-5, Tues 9-6, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-1","<a href = ""http://lcplky.org"">Click here to access their website</a>","Free WiFi, quiet rooms, bookmobile, teen and childrens programs, ebooks",Yes,N/A,Yes,N/A,N/A,Yes
361,Lee,Lee County Public Library,library,"255 Industrial Park Road P.O. Box V Beattyville, KY 41311",606-464-8014,37.550763,-83.722267,"Mon-Fri 9-5, Sat 9-1","<a href = ""https://leecplky.booksys.net/opac/leecplky/index.html"">Click here to access their website</a>",N/A,N/A,N/A,N/A,N/A,N/A,N/A
370,Leslie,Leslie County Public Library,library,"22065 Main Street Hyden, KY 41749",606-672-2460,37.161899,-83.374865,"Mon 8-5, Tues 8-8, Wed 8-5, Thurs 8-8, Fri 8-5, Sat 8-2","<a href = ""http://www.leslielibrary.com"">Click here to access their website</a>","Ebooks, bookmobile, free online classes",N/A,N/A,Yes,N/A,N/A,Yes
386,Letcher,Blackey Public Library,library,"295 Main Street Loop, P.O. Box 337 Blackey KY 41804-0037",606-633-4013,37.139918,-82.980009,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org/blackey.html"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes,Yes,Yes,N/A,N/A,N/A
387,Letcher,Harry M. Caudill Memorial Library,library,220 Main Street Whitesburg KY 41858,606-633-7547,37.117649,-82.825929,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes,Yes,Yes,N/A,N/A,N/A
388,Letcher,Fleming Neon Public Library,library,1008 Highway 317 P.O. Box 236 Neon KY 41840,606-855-4565,37.192277,-82.713489,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes,Yes,Yes,N/A,N/A,N/A
390,Letcher,Jenkins Public Library,library,9543 Highway 805 P.O. Box 687 Jenkins KY 41537-0687,606-832-4101,37.172571,-82.633255,"Mon-Tues 9-5, Wed 9-7, Thurs 9-5, Fri 9-5, Sat 9-4","<a href = ""http://lcld.org"">Click here to access their website</a>","Free computer access, free WiFi, printing services, reading and outreach programs, bookmobile",Yes,Yes,Yes,N/A,N/A,N/A
399,Lewis,Lewis County Public Library,library,27 Third Street Vanceburg KY 41179-7682,606-796-2532,38.600242,-83.317296,"Mon-Tues 8:30-5, Wed 8:30-12:30, Thurs-Fri 8:30-5, Sat 8:30-12:30","<a href = ""http://lewiscountylibrary.net/index.html"">Click here to access their website</a>","Hoopla ebooks, bookmobile, online test prep, online job resources",N/A,N/A,Yes,N/A,Yes,Yes
414,Lincoln,Lincoln County Public Library,library,201 Lancaster Street Stanford KY 40484-1347,606-365-7513,37.530327,-84.662144,"Mon 9-6, Tues 9-8, Wed 9-6, Thurs 9-8, Fri 9-6, Sat 9-3","<a href = ""http://www.lcplinfo.org"">Click here to access their website</a>","Outreach services, genealogy services, printing services, community exhibits",N/A,N/A,N/A,N/A,N/A,N/A
443,Madison,Berea Location Library,library,319 Chestnut Street Berea KY 40403-1508,859-986-7112,37.568775,-84.295761,"Mon-Thurs 9-8, Fri 9-6, Sat 9-6, Sun 1-5","<a href = ""https://www.madisonlibrary.org/"">Click here to access their website</a>","Meeting rooms, outreach services, ebooks,printing services",N/A,N/A,N/A,Yes,Yes,N/A
444,Madison,Madison County Public Library,library,507 West Main Street Richmond KY 40475-1349,859-623-6704,37.749908,-84.299029,"Mon-Thurs 9-8, Fri 9-6, Sat 9-6, Sun 1-5","<a href = ""https://www.madisonlibrary.org/"">Click here to access their website</a>","Meeting rooms, outreach services, ebooks,printing services",N/A,N/A,N/A,Yes,Yes,N/A
469,Martin,Martin County Public Library,library,180 East Main Street P.O. Box 1318 Inez KY 41224-1318,606-298-7766,37.866403,-82.535814,Mon-Fri 9-5,"<a href = ""https://www.madisonlibrary.org/"">Click here to access their website</a>","Computer classes, ask-a-librarian, disc repair, printing services, meeting rooms, genealogy room",N/A,N/A,N/A,Yes,N/A,N/A
470,Martin,Rufus Reed Branch Library,library,1442 River Front Road P.O. Box 359 Lovely KY 41231,606-395-6500,37.829112,-82.402024,Mon-Fri 9-5,"<a href = ""https://www.madisonlibrary.org/"">Click here to access their website</a>","Computer classes, ask-a-librarian, disc repair, printing services, meeting rooms, genealogy room",N/A,N/A,N/A,Yes,N/A,N/A
479,McCreary,McCreary County Public Library,library,6 North Main Street P.O. Box 8 Whitley City KY 42653-0008,606-376-8738,36.725726,-84.469377,"Mon 9-7, Tues-Wed 9-5:30, Thurs 9-7, Fri 9-5:30, Sat 9-4","<a href = ""http://www.mccrearylibrary.org"">Click here to access their website</a>","Free WiFi, free computer access, bookmobile",Yes,Yes,Yes,N/A,N/A,N/A
488,Menifee,Menifee County Public Library,library,"P.O. Box 49  1585 Main Street Frenchburg, KY 40322-0049",606-768-2212,37.95518,-83.651553,"Mon 9-5, Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 9-3","<a href = ""https://menifeecplky.booksys.net/opac/mcpl/"">Click here to access their website</a>",Free online Driver's practice tests,N/A,N/A,N/A,N/A,N/A,N/A
504,Montgomery,Montgomery County Library,library,328 North Maysville Street Mount Sterling KY 40353,859-498-2404,38.061795,-83.944377,"Mon-Thurs 9-8, Fri-Sat 9-6","<a href = ""https://www.facebook.com/mtsterlinglibrary/"">Click here to access their website</a>","Children services, college prep classes",N/A,N/A,N/A,N/A,N/A,Yes
505,Montgomery,Camargo Branch Library,library,4460C Camargo Road Mt. Sterling KY 40353,859-499-4244,37.993694,-83.887448,"Mon-Thurs 9-8, Fri-Sat 9-6",N/A,"Arts and Crafts club, book clubs, free WiFi",Yes,N/A,N/A,N/A,N/A,N/A
516,Morgan,Morgan County Public Library,library,151 University Avenue West KY 41472-1140,606-743-4151,37.899106,-83.288633,"Mon-Tues 9-7, Wed 9-5, Thurs-Fri 9-7, Sat 10-3","<a href = ""http://www.youseemore.com/mcpl"">Click here to access their website</a>","Free computer and internet access, bookmobile, meeting rooms, teen and children services, computer classes, Ancestry library",Yes,Yes,Yes,Yes,N/A,N/A
523,Owsley,Owsley County Public Library,library,185 Highway 11 Booneville KY 41314,606-593-5700,37.4760016,-83.6797524,"Mon-Wed 9-5, Thurs 9-8, Fri 9-5","<a href = ""https://www.facebook.com/pages/category/Library/Owsley-County-Public-Library-1745629035657364/"">Click here to access their website</a>","Free computer and internet access, copy and printing services, tutoring services, meeting rooms and GED classes",Yes,Yes,N/A,Yes,N/A,Yes
549,Perry,Perry County Public Library,library,289 Black Gold Blvd. Hazard KY 41701-2604,606-436-2475,37.251066,-83.206349,"Mon-Fri 9-7, Sat 8-4","<a href = ""http://perrycountylibrary.org"">Click here to access their website</a>","Meeting rooms, auditorium, bookmobile and outreach services, teen room, genealogy, 3D printing, exam proctoring, study rooms, free computer and internet access, free printing services",Yes,Yes,N/A,Yes,N/A,N/A
580,Pike,Belfry Branch Library,library,"24371 U.S. Highway 119 Belfry, KY 41514",606-353-9429,37.613117,-82.272403,"Tues, Thurs, Fri 10-7, Sat 9-6","<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",N/A,N/A,N/A,N/A,Yes,Yes
581,Pike,Elkhorn City Branch Library,library,150 East Main Street Elkhorn City KY 41522,606-754-5451,37.30567,-82.353176,"Tues, Thurs, Fri 10-7, Sat 9-6","<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",N/A,N/A,N/A,N/A,Yes,Yes
582,Pike,Phelps Branch Library,library,"38575 State Highway 194 East Phelps, KY 41553-9702",606-456-7860,37.51847,-82.153774,"Tues, Thurs, Fri 10-7, Sat 9-6","<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",N/A,N/A,N/A,N/A,Yes,Yes
583,Pike,Pikeville Public Library,library,119 College Street Pikeville KY 41502,606-432-1285,37.476409,-82.521999,Mon-Fri 10-7,"<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",N/A,N/A,N/A,N/A,Yes,Yes
584,Pike,Vesta Roberts Johnson Memorial Library,library,"180 Highway 610 West Virgie, KY 41572",606-639-9839,37.347842,-82.592082,"Tues, Thurs, Fri 10-7, Sat 9-6","<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",N/A,N/A,N/A,N/A,Yes,Yes
585,Pike,Lee Avenue Branch Library,library,"126 Lee Avenue Pikeville, KY 41501",606-437-6001,37.501614,-82.535128,"Tues, Thurs, Fri 10-7, Sat 9-6","<a href = ""http://www.informationplace.org"">Click here to access their website</a>","Ebooks, online career help, legal form database,genealogical services",N/A,N/A,N/A,N/A,Yes,Yes
595,Powell,Powell County Public Library,library,725 Breckenridge Street Stanton KY 40380-2018,606-663-4511,37.852714,-83.86086,"Mon-Tues 9-7, Wed 9-5, Thurs 9-7, Fri 9-5, Sat 10-3","<a href = ""http://www.pcplky.org"">Click here to access their website</a>","Free computer and internet access, copy services, Ancestry.com, family/adult/teen/children programs, bookmobile and outreach services",Yes,Yes,Yes,N/A,N/A,N/A
629,Pulaski,Burnside Branch Library,library,85 East French Avenue Burnside KY 42519,606-561-5287,36.990141,-84.598954,"Mon 10-5, Tues 12-7, Wed 10-5, Thurs 12-7, Fri 10-5,  Sat 9-12","<a href = ""http://www.pulaskipubliclibrary.org"">Click here to access their website</a>","Meeting rooms, notary services, book-a-librarian, passport services, bookmobile and outreach services",N/A,N/A,Yes,Yes,N/A,N/A
630,Pulaski,Nancy Branch Library,library,Mills Spring Plaza Nancy KY 42544,606-636-4241,37.1305829,-84.8783297,"Mon 10-5, Tues 12-7, Wed 10-5, Thurs 12-7, Fri 10-5,  Sat 9-12","<a href = ""http://www.pulaskipubliclibrary.org"">Click here to access their website</a>","Meeting rooms, notary services, book-a-librarian, passport services, bookmobile and outreach services",N/A,N/A,Yes,Yes,N/A,N/A
631,Pulaski,Pulaski County Public Library,library,304 South Main Street Somerset KY 42501,606-679-8401,36.990141,-84.598954,"Mon-Fri 9-7, Sat 9-5","<a href = ""http://www.pulaskipubliclibrary.org"">Click here to access their website</a>","Meeting rooms, notary services, book-a-librarian, passport services, bookmobile and outreach services",N/A,N/A,Yes,Yes,N/A,N/A
632,Pulaski,Science Hill Branch Library,library,215 Main Street Science Hill KY 42553,606-423-4221,37.176777,-84.635128,"Mon 10-5, Tues 12-7, Wed 10-5, Thurs 12-7, Fri 10-5,  Sat 9-12","<a href = ""http://www.pulaskipubliclibrary.org"">Click here to access their website</a>","Meeting rooms, notary services, book-a-librarian, passport services, bookmobile and outreach services",N/A,N/A,Yes,Yes,N/A,N/A
633,Pulaski,Shopville Branch Library,library,144 Shopville Road Somerset KY 42503,606-274-1671,37.159109,-84.484018,"Mon 10-5, Tues 12-7, Wed 10-5, Thurs 12-7, Fri 10-5,  Sat 9-12","<a href = ""http://www.pulaskipubliclibrary.org"">Click here to access their website</a>","Meeting rooms, notary services, book-a-librarian, passport services, bookmobile and outreach services",N/A,N/A,Yes,Yes,N/A,N/A
643,Rockcastle,Rockcastle County Public Library,library,60 Ford Drive Mount Vernon KY 40456-2148,606-256-2388,37.350156,-84.33607,"Mon - Fri 9:30-6, Sat 9:30-2","<a href = ""http://www.rockcastlelibrary.org"">Click here to access their website</a>","Free computer and internet access, bookmobile, ebooks, copy services, children programs",Yes,Yes,N/A,Yes,N/A,N/A
663,Rowan,Rowan County Public Library,library,175 Beacon Hill Drive Morehead KY 40351,606-784-7137,38.186577,-83.479513,"Mon-Thurs 9-8, Fri-Sat 9-5, Sun 1-5","<a href = ""http://www.rowancountylibrary.org/"">Click here to access their website</a>","Free computer and internet access, meeting rooms, notary services, genealogy room,",Yes,Yes,N/A,Yes,N/A,N/A
682,Russell,Russell County Public Library,library,535 North Main Street Jamestown KY 42629,270-343-7323,36.991036,-85.068566,"Mon-Thurs 8-6, Fri 8-4, Sat 9-1","<a href = ""http://www.russellcountylibrary.com"">Click here to access their website</a>","Free computer and internet access, copy services, notary services, book-a-librarian,outreach services, Kids and teen programs",Yes,Yes,N/A,Yes,N/A,N/A
693,Wayne,Wayne County Public Library,library,157 Rolling Hills Boulevard Monticello KY 42633,606-348-8565,36.854672,-84.843944,"Monday 9-5:30, Tues 9-7:30, Wed 9-5:30, Thurs 9-7:30, Fri 9-5:30, Sat 8-4","<a href = ""http://www.waynecountylibrary.org"">Click here to access their website</a>","Free computer and internet access, printing services, community meeting rooms, bookmobile, teen, child and adult programs",Yes,Yes,N/A,Yes,N/A,N/A
714,Whitley,Corbin Public Library,library,215 Roy Kidd Avenue Corbin KY 40701-1200,606-528-6366,36.949506,-84.094769,"Mon-Tues, 10-7, Wed 10-2, Thurs-Fri 10-7, Sat 10-2","<a href = ""http://www.corbinkylibrary.org"">Click here to access their website</a>","Community programs, ebooks, free internet and computer access, printing services, exam proctoring services",Yes,Yes,N/A,N/A,Yes,N/A
715,Whitley,Whitley County Public Library,library,"285 South Third Street Williamsburg, KY 40769-1265",606-549-0818,36.741787,-84.15853,"Mon 9-8, Tues-Wed 9-6, Thurs 9-8, Fri 9-6, Sat 9-2","<a href = ""http://www.whitleylibrary.org"">Click here to access their website</a>","Free WiFi, bookmobile, ebooks, community programs, genealogy services, community room",Yes,Yes,Yes,Yes,N/A,N/A
725,Wolfe,Wolfe County Public Library,library,164 KY HWY 15 North Campton KY 41301,606-668-6571,37.731144,-83.55424,"Mon 9-4:30, Tues 9-6, Wed 9-4:30, Thurs 9-6, Fri 9-4:30, Sat 9-1","<a href = ""http://wcplib.org"">Click here to access their website</a>","Free computer and internet access, ebooks, Driver's License Study Computer Station, help with job searches and benefits reporting, genealogy services",Yes,Yes,N/A,N/A,Yes,N/A
