OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,re_mat,re_num,MRP
165,Estill,Advanced Disposal,Recycling centers,2700 Winchester Rd Irvine KY 40336,606-723-5552,37.737238,-83.984627,N/A,"<a href = ""https://www.advanceddisposal.com/for-home.aspx"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OPMIX, ST CANS, ONP, MRP",7,Yes
168,Estill,Estill County Recycling Center,Recycling centers,532 Kirkland Ave Irvine KY 40336,606-723-5580,37.682957,-83.957684,Mon-Thurs 7-5:30,"<a href = ""http://estillky.com/index.php/estill-road-department-rec"">Click here to access their website</a>",Containers should be rinsed and lids removed.,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, ESCRAP, MRP",11,Yes
245,Harlan,Harlan County Recycling,Recycling centers,15 S. Highway 413 Baxter KY 40806,606-573-9423,36.875642,-83.300258,N/A,N/A,N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, ST CANS, WHITE, ONP, ESCRAP, MRP, RUB",12,Yes
266,Jackson,Jackson County Transfer Station,Recycling centers,McCammon RidgeRoad McKee KY 40447,606-287-7688,37.415351,-83.963531,N/A,"<a href = ""https://jacksoncounty.ky.gov/Services/Pages/Departm"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, ESCRAP, MRP, RUB",15,Yes
295,Knott,Childers Enterprises,Recycling centers,55 Holly hills Villa Road Hindman KY 41822,606-785-3911,37.314941,-82.942778,N/A,"<a href = ""https://www.facebook.com/pages/Childers-Enterprises/"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, MRP",8,Yes
296,Knott,Knott Transfer Station and REcycling Dropoff,Recycling centers,256 Transfer Station Road Hindman KY 41822,606-785-0249,37.318598,-82.973004,N/A,N/A,N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, MRP, RUB, EGC,",14,Yes
331,Laurel,London Regional Recycle Facility,Recycling centers,950 TLC Lane London KY 40741,606-864-5521,37.120108,-84.056849,24/7,"<a href = ""https://www.londonky.gov/departments/recycling-progr"">Click here to access their website</a>","We are working hard to accommodate all of your recycling needs.  If you have any questions, feel free to contact us anytime at 606-864-5521. coflsaedge@gmail.com Curbside recycling available for the city of London.","GL, AL, PL( HDPE, PET, PS, PP, PVC, LDPE, OTHER), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, ESCRAP, MRP, EGC",16,Yes
347,Lawrence,Lawrence County Recycling Center,Recycling centers,175 Business Way Louisa KY 41230,606-638-4102,38.097194,-82.620389,N/A,"<a href = ""http://lawrencekentucky.com/category/recycle-center/"">Click here to access their website</a>","Markets to: Lexington area. &nbsp;2 Marathon hy-press vertical balers, 20/ton, 230 volt, forklift, van. Email: josborne@lycomonline.com","AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, MRP",8,Yes
366,Leslie,Leslie County Recycling Center,Recycling centers,24778 HWY 421 Hyden KY 41749,606-672-4103,37.14716,-83.411094,N/A,"<a href = ""http://www.lesliecoky.com/government/solid-waste-coo"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), OCC, OPMIX, ST CANS, ONP, ESCRAP, MRP",8,Yes
381,Letcher,City of Whitesburg Recycling Center,Recycling centers,1447 HWY 931 South Whitesburg KY 41858,606-632-2267,37.135746,-82.823932,"Mon - Fri 7:30-4, Sat 7:30-12:30.","<a href = ""https://www.facebook.com/pg/CityofWhitesburgRecycl"">Click here to access their website</a>","Market to: Northern KY, Lexington area. Equipment: 4 balers, 3 work, forklift/bobcat, paper shredder, spine cutter, 2 belt lines.","AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, MRP",9,Yes
395,Lewis,Lewis County Recycling Center,Recycling centers,199 County Drive Vanceburg KY 41179,606-796-0624,38.590529,-83.350549,Mon-Fri 7-3:30,"<a href = ""https://lewiscounty.ky.gov/Departments-and-Services/"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET, OTHER), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, ESCRAP, MRP, RUB",16,Yes
428,Madison,Bluegrass Reg. Recycle Corp (BRRC),Recycling centers,540 Recycle Drive Richmond KY 40475,859-626-9117,37.727307,-84.289143,N/A,"<a href = ""http://www.thebrrc.com/"">Click here to access their website</a>","The BRRC is a 501-C-3 organization located in Richmond, Kentucky.  BRRC is dedicated to training and educating the general public and government entities.  The BRRC is also committed to developing workable recycling systems throughout Kentucky and the Nation.","PL( HDPE), OCC, MRP",3,Yes
453,Magoffin,Magoffin County Recycling Center,Recycling centers,201 East Maple Street Salyersville KY 41465,606-349-6336,37.752189,-83.066233,N/A,N/A,Offer pickup from businesses and schools. Email: frankie_collett@hotmail.com,"AL, PL( HDPE, PET, OTHER), NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, MRP",9,Yes
476,McCreary,Co. Recycling/TS Center,Recycling centers,Cabin Creek Rd. Stearns KY 42647,606-376-2413,36.701426,-84.46307,N/A,"<a href = ""http://www.mccrearycounty.com/Departments.html"">Click here to access their website</a>",Accepts escrap and used motor oil,"AL, PL( HDPE, PET, OTHER), FE, NONFE, OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP",12,Yes
497,Montgomery,Rumpke Recycling Inc.,Recycling centers,30 Lairson Road Jeffersonville KY 40337,859-498-3322,37.950248,-83.952076,Mon-Fri 8-5,"<a href = ""https://www.rumpke.com/"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), OCC, CARBAT, OPMIX, ST CANS, ONP, UO, MRP",10,Yes
535,Perry,Perry County Maintenance Garage & 2 Dropoff Trailers,Recycling centers,2715 Christopher Road Hazard KY 41701,606-439-0149,37.240819,-83.198651,Mon-Fri 8-4,"<a href = ""https://perrycounty.ky.gov/da/Pages/Solid-Waste.aspx"">Click here to access their website</a>","We accept any type of electronics you may have: old computers, TVs, microwaves, stoves, and anything that has or once had a cord. This service is provided to you free of charge.","AL, PL( PET, OTHER), OCC, ST CANS, ONP, ESCRAP, MRP",7,Yes
570,Pike,Black Gem Park (County Drop-off),Recycling centers,Black Gem Road Pikeville KY 41501,606-432-6245,37.6442481,-82.2649189,N/A,N/A,Approximate location,"AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, ONP, MRP",8,Yes
571,Pike,Pike County Solid Waste,Recycling centers,170 Ford Mountain Road Pikeville KY 41501,606-631-0902,37.568361,-82.453139,N/A,"<a href = ""http://www.pikecountyky.gov/?page_id=31"">Click here to access their website</a>",N/A,"GL, AL, PL( HDPE, PET), NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, ONP, UO, MRP, RUB, EGC",14,Yes
615,Pulaski,Pulaski Regional Recycling Center,Recycling centers,218 W HWY 80 Somerset KY 42503,606-677-0320,37.092129,-84.623936,N/A,"<a href = ""http://pcgovt.com/solid-waste-and-recycling/"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP, EGC",14,Yes
640,Rockcastle,Rockcastle County Recycling Center,Recycling centers,2528 South Wilderness Road Mount Vernon KY 40456,606-256-1902,37.339914,-84.3022642,N/A,"<a href = ""http://www.rockcastlecountyky.com/"">Click here to access their website</a>",N/A,"AL, PL( HDPE, PET), FE, NONFE, OCC, CARBAT, OPMIX, OPSORT, ST CANS, WHITE, ONP, UO, ESCRAP, MRP",14,Yes
654,Rowan,Morehead Rowan Community Recycling Center,Recycling centers,325 Triplett Street Morehead KY 40351,606-784-1250,38.230298,-83.460379,"Mon-Fri 8:30-4:30, Sat 9:30-1:30","<a href = ""https://moreheadrecycling.org/"">Click here to access their website</a>","Also accepts grocery bags, shrink-wrap, magazines, books, and paperboard.","GL, AL, PL( HDPE, PET, PP, LDPE), OCC, OPMIX, OPSORT, ST CANS, ONP, UO, ESCRAP, MRP",11,Yes
673,Russell,Russell Co. Recycling Facility,Recycling centers,199 Landfill Road Russell Springs KY 42642,270-585-1416,37.037956,-85.061021,Mon-Fri 7:30-3:30,N/A,N/A,"GL, AL, PL( HDPE, PET), OCC, OPMIX, OPSORT, ST CANS, WHITE, ONP, MRP",10,Yes
