OBJECTID,county,name,sector,address,phone,y,x,hours,website
353,Lawrence,Lawrence County Extension,extension office,"249 Industrial Park Road Louisa, KY 41230",606-673-9495,38.096908,-82.619623,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""lawrence.ca.uky.edu/"">Click here to access their website</a>"
362,Lee,Lee County Extension,extension office,"257 Industrial Park Rd Beattyville, KY 41311",606-464-2759,37.552919,-83.723476,Mon-Fri 8-4:30,"<a href = ""http://lee.ca.uky.edu/"">Click here to access their website</a>"
371,Leslie,Leslie County Extension,extension office,"22045 Main Street Hyden, KY 41749",606-672-2154,37.161881,-83.374415,Mon-Fri 8-4:30,"<a href = ""http://leslie.ca.uky.edu/"">Click here to access their website</a>"
389,Letcher,Letcher County Extension,extension office,"478 Extension Drive Whitesburg, KY 41858",606-633-2362,37.11375,-82.832897,Mon-Fri 8-4:30,"<a href = ""http://letcher.ca.uky.edu/"">Click here to access their website</a>"
400,Lewis,Lewis County Extension,extension office,"284 Second Street Vanceburg, KY 41179-1104",606-796-2732,38.598883,-83.314213,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://lewis.ca.uky.edu/"">Click here to access their website</a>"
415,Lincoln,Lincoln County Extension,extension office,"104 Metker Trail Stanford, Kentucky 40484",606-365-2447,37.543032,-84.654623,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://lincoln.ca.uky.edu/"">Click here to access their website</a>"
445,Madison,Madison County Extension,extension office,"230 Duncannon Lane Richmond, KY 40475",859-623-4072,37.701184,-84.273974,Mon-Fri 8-4:30,"<a href = ""http://madison.ca.uky.edu/"">Click here to access their website</a>"
459,Magoffin,Magoffin County Extension,extension office,"15 Rockhouse Fork Rd Salyersville, KY 41465",606-349-3216,37.7348811,-83.0226938,Mon-Fri 8-4:30,"<a href = ""http://magoffin.ca.uky.edu/"">Click here to access their website</a>"
471,Martin,Martin County Extension,extension office,"9 Holy Street, Inez, KY 41224",606-298-7742,37.865176,-82.5417,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://martin.ca.uky.edu/"">Click here to access their website</a>"
480,McCreary,McCreary County Extension,extension office,"McCreary Campus, Somerset CC Whitley City, KY 42653-0278",606-376-2524,36.715218,-84.467754,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://mccreary.ca.uky.edu/"">Click here to access their website</a>"
489,Menifee,Menifee County Extension,extension office,"140 Main Street Frenchburg, KY 40322",606-768-3866,37.951308,-83.627993,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://menifee.ca.uky.edu/"">Click here to access their website</a>"
506,Montgomery,Montgomery County Extension,extension office,"106 East Locust Street Mt. Sterling, KY 40353-1404",859-498-8741,38.054953,-83.940793,Mon-Fri 8-4:30,"<a href = ""http://montgomery.ca.uky.edu/"">Click here to access their website</a>"
517,Morgan,Morgan County Extension,extension office,"1002 Prestonsburg Street West Liberty, KY 41472",606-743-3292,37.917644,-83.243179,Mon-Fri 8-4:30,"<a href = ""http://morgan.ca.uky.edu/"">Click here to access their website</a>"
524,Owsley,Owsley County Extension,extension office,"02 Industrial Park Road, Booneville, KY 41314",606-593-5109,37.4527224,-83.6831904,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://owsley.ca.uky.edu/"">Click here to access their website</a>"
550,Perry,Perry County Extension,extension office,"933 Perry Park Rd. Hazard, KY 41701",606-436-2044,37.282518,-83.209259,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://perry.ca.uky.edu/"">Click here to access their website</a>"
586,Pike,Pike County Extension,extension office,"148 Trivette Drive Pikeville, KY 41501",606-432-2534,37.48379,-82.515491,Mon-Fri 8-4:30,"<a href = ""http://pike.ca.uky.edu/"">Click here to access their website</a>"
596,Powell,Powell County Extension,extension office,"169 Maple Street Stanton, KY 40380",606-663-6405,37.853977,-83.859464,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://powell.ca.uky.edu/"">Click here to access their website</a>"
634,Pulaski,Pulaski County Extension,extension office,"28 Parkway Dr. Somerset, KY 42502",606-679-6361,37.091885,-84.637811,Mon-Fri 8-4:30,"<a href = ""http://pulaski.ca.uky.edu/"">Click here to access their website</a>"
644,Rockcastle,Rockcastle County Extension,extension office,"1050 West Main St. Mount Vernon, KY 40456",606-256-2403,37.360374,-84.356866,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://rockcastle.ca.uky.edu/"">Click here to access their website</a>"
664,Rowan,Rowan County Extension,extension office,"600 West Main Street Morehead, KY 40351",606-784-5457,38.175578,-83.438789,"Mon-Fri 8-4:30, closed daily 12-1","<a href = ""http://rowan.ca.uky.edu/"">Click here to access their website</a>"
683,Russell,Russell County Extension,extension office,"2688 S. Hwy 127 Russell Springs, KY 42642",270-866-4477,37.028038,-85.076479,"Mon-Fri 7:30-4, closed daily 12-1","<a href = ""http://russell.ca.uky.edu/"">Click here to access their website</a>"
694,Wayne,Wayne County Extension,extension office,"255 Rolling Hills Blvd Monticello, KY 42633",606-348-8453,36.853955,-84.845394,Mon-Fri 8-4:30,"<a href = ""http://wayne.ca.uky.edu/"">Click here to access their website</a>"
716,Whitley,Whitley County Extension,extension office,"4275 US-25W Williamsburg, KY 40769",606-549-1430,36.795369,-84.176893,Mon-Fri 8-4:30,"<a href = ""http://whitley.ca.uky.edu/"">Click here to access their website</a>"
726,Wolfe,Wolfe County Extension,extension office,"20 North Washington Street Campton, KY 41301",606-668-3712,37.736373,-83.547476,Mon-Fri 8-4:30,"<a href = ""http://wolfe.ca.uky.edu/"">Click here to access their website</a>"
