OBJECTID,county,name,sector,address,phone,y,x,hours,website,additional,snap,wic,fm_senior
49,Floyd,Food City,Grocery,"429 University Dr, Prestonsburg, KY 41653",606-889-9375,37.685445,-82.782326,Mon-Sat 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/471/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=471"">Click here to access their website</a>",N/A,Yes,Yes,N/A
50,Floyd,Save-a-Lot,Grocery,"525 Village Dr, Prestonsburg, KY 41653",606-886-2230,37.655555,-82.782755,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/prestonsburg-41653-24611/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
51,Floyd,Walmart,Grocery,"477 Village Dr, Prestonsburg, KY 41653",606-886-6681,37.655316,-82.78193,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/696/prestonsburg-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
52,Floyd,Triangle Market,Grocery,"98 Triangle Street, Martin, KY 41649",606-285-3513,37.560926,-82.760854,Mon-Fri,"<a href = ""https://www.facebook.com/TriangleMarket"">Click here to access their website</a>",N/A,Yes,Yes,N/A
53,Floyd,Save-a-Lot,Grocery,"39 Stephens Branch, Martin, KY 41649",606-285-9700,37.555682,-82.772569,"Mon-Sat 8-9, Sun 9-8","<a href = ""https://savealot.com/grocery-stores/martin-41649-23505/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
54,Garrard,Save-a-Lot,Grocery,"140 Pleasant Retreat Dr, Lancaster, KY 40444",859-792-1679,37.602063,-84.591102,"Everyday, 8-9","<a href = ""https://savealot.com/grocery-stores/lancaster-40444-45147/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
55,Green,Block City Grocery,Grocery,"4601 KY-218, Greensburg, KY 42743",270-565-5111,37.181468,-85.615487,"Mon-Sat 6-9, Sun 9-9","<a href = ""https://www.facebook.com/blockcityky/?rf=216530168863414"">Click here to access their website</a>",N/A,Yes,Yes,N/A
56,Greenup,Greenup Food Fair,Grocery,"1625 Ashland Rd, Greenup, KY 41144",606-473-9891,38.568188,-82.825314,Everyday 8-9,"<a href = ""http://www.foodfairmarkets.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
57,Harlan,Food City,Grocery,"2478 US-421, Harlan, KY 40831",606-573-3311,36.825149,-83.322139,Everyday 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/437/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=437"">Click here to access their website</a>",N/A,Yes,Yes,N/A
58,Harlan,Save-a-Lot,Grocery,"93 Industrial Park Rd, Harlan, KY 40831",606-573-5891,36.834696,-83.326999,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/harlan-40831-24476/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
59,Harlan,Cash Saver,Grocery,"416 S Main St, Harlan, KY 40831",606-573-5231,36.834696,-83.326999,Everyday 8-10,"<a href = ""https://www.harlancashsaver.com/WeeklyAd/Index"">Click here to access their website</a>",N/A,No,No,N/A
60,Harlan,Walmart,Grocery,"201 Walton Road, Harlan, KY 40831",606-573-2206,36.817516,-83.318128,Everyday 6-12am,"<a href = ""https://www.walmart.com/store/1743/harlan-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
61,Harlan,Don's Super Saver,Grocery,"200 Waldon Dr, Harlan, KY 40831",606-573-4063,36.819637,-83.319044,Everyday 8-10,"<a href = ""https://www.donssupersaver.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
62,Harlan,Food City,Grocery,"1314 E Main St, Cumberland, KY 40823",606-589-4513,36.974868,-82.983236,Everyday 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/437/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=437"">Click here to access their website</a>",N/A,Yes,Yes,N/A
63,Harlan,Save-a-Lot,Grocery,"158 E Main St, Evarts, KY 40828",606-837-2300,36.865582,-83.193166,Everyday 8-10,"<a href = ""https://savealot.com/grocery-stores/evarts-40828-24477/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
64,Harlan,Roper's Market,Grocery,"144 State Hwy 72, Baxter, KY 40806",606-573-1517,36.865582,-83.193166,Mon-Sat 8-4:30,N/A,N/A,Yes,Yes,N/A
65,Jackson,Town and Country Market,Grocery,"4368 KY-30, Annville, KY 40402",606-364-2323,37.319475,-83.971122,"Mon-Fri 5:30-11, Sat 7-11, Sun 8-11","<a href = ""https://www.facebook.com/pages/category/Gas-Station/Annville-Town-Country-Market-143267792372485/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
66,Jackson,Dollar General,Grocery,"390 Main st. McKee, KY 40447",502-234-1920,37.430491,-83.99104,Everday 8-10,"<a href = ""https://www.dollargeneral.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
67,Jackson,Save-a-Lot,Grocery,"258 US-421, McKee, KY 40447",606-287-8330,37.432734,-83.9815,"Mon-Sat 8-8, Sun 10-6","<a href = ""https://savealot.com/grocery-stores/mckee-40447-22754/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
68,Jackson,Dollar General,Grocery,"10 Creech Hollow Rd, Tyner, KY 40486",606-364-6613,37.346036,-83.904381,Everyday 8-10,"<a href = ""https://www.dollargeneral.com/"">Click here to access their website</a>",N/A,Yes,No,N/A
69,Johnson,Food City,Grocery,"330 North Mayo Trail, Paintsville, KY 41240",606-789-8860,37.821375,-82.819871,Everyday 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/424/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=424"">Click here to access their website</a>",N/A,Yes,Yes,N/A
70,Johnson,Walmart Supercenter,Grocery,"470 No, S Mayo Trail, Paintsville, KY 41240",606-789-8920,37.823253,-82.825463,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1233/paintsville-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
71,Johnson,Save-a-Lot,Grocery,"229 N S Mayo Trail, Paintsville, KY 41240",606-789-8393,37.811055,-82.806704,"Mon-Sat 8-9, Sun 9-8","<a href = ""https://savealot.com/grocery-stores/paintsville-41240-23488/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
72,Knott,Mousie Market,Grocery,"9888 KY-550, Mousie, KY 41839",606-946-2111,37.418835,-82.877506,Everday 11-8,"<a href = ""https://www.iga.com/"">Click here to access their website</a>",N/A,No,No,N/A
73,Knott,Casey's IGA,Grocery,"130 Holly Mill Mall Road, Hindman, KY 41822",606-785-4600,37.314492,-82.943827,"Mon-Sat 7-9, Sun 9-9","<a href = ""https://caseysiga.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
74,Knott,Save-a-Lot,Grocery,"402 KY-899, Hindman, KY 41822",606-785-5665,37.31465,-82.939583,"Mon-Sat 7-9, Sun 10-8","<a href = ""https://savealot.com/grocery-stores/hindman-41822-24473/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
75,Knott,Yoder's Country Market,Grocery,"1319 Hindman Bypass, Hindman, KY 41822",606-785-3344,37.31465,-82.939583,"Mon-Fri 9-5:30, Sat 10-3","<a href = ""https://www.yoderscountrymarket.net/Grocery/folder/41"">Click here to access their website</a>",N/A,Yes,Yes,N/A
76,Knox,IGA,Grocery,"193 Parkway Plaza, Barbourville, KY 40906",606-546-8320,36.859612,-83.869793,Everyday 7-10,"<a href = ""https://www.myiga.com/"">Click here to access their website</a>",N/A,Yes,No,N/A
77,Knox,Save-a-Lot,Grocery,"786 US-25E Scenic, Barbourville, KY 40906",606-546-8843,36.857346,-83.871891,Everyday 9-6,"<a href = ""https://savealot.com/grocery-stores/barbourville-40906-23471/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
78,Knox,Kroger,Grocery,"14889 N Us, US-25E Scenic, Corbin, KY 40701",606-528-8630,36.959316,-84.075202,Everyday 7-10,"<a href = ""https://www.kroger.com/stores/details/024/00760?cid=loc_02400760_gmb"">Click here to access their website</a>",N/A,Yes,Yes,N/A
79,Laurel,Save-a-Lot,Grocery,"825 S Laurel Rd, London, KY 40741",606-864-3882,37.095279,-84.067259,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/london-40741-23473/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
80,Laurel,Kroger,Grocery,"1805 N Main St, London, KY 40741",606-864-4311,37.138494,-84.099751,"Mon 7-11, Tues-Sun 7-10","<a href = ""https://www.kroger.com/stores/details/024/00331?cid=loc_02400331_gmb"">Click here to access their website</a>",N/A,Yes,Yes,N/A
81,Laurel,Willow Creek Market,Grocery,"9241 E Laurel Rd, London, KY 40741",606-864-0043,37.084997,-83.902405,"Mon-Fri 9-5, Sat 9-4",N/A,N/A,No,No,N/A
82,Laurel,EC Porter IGA,Grocery,"714 E 4th St, London, KY 40741",606-864-5145,37.084997,-83.902405,"Mon-Sat 7-9, Sun 8-9","<a href = ""https://porter.iga.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
83,Laurel,Walmart Supercenter,Grocery,"1851 Highway 192 W, London, KY 40741",606-878-6119,37.11408,-84.091671,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1113/london-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
84,Laurel,Kroger,Grocery,"1732 KY-192, London, KY 40741",606-878-1254,37.106621,-84.089195,"Mon-Thurs 7-11, Fri-Sat 7-12, Sun 7-11","<a href = ""https://www.kroger.com/?cid=PDM-KROGER.GMB-LOCAL"">Click here to access their website</a>",N/A,Yes,Yes,N/A
85,"Laurel
",Walmart Supercenter,Grocery,"60 S Stewart Rd, Corbin, KY 40701",606-523-1770,36.972574,-84.102507,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/1259/corbin-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
86,Lawrence,Walmart Supercenter,Grocery,"275 walton Dr, Louisa, KY 41230",606-673-4427,38.102213,-82.624198,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/4461/louisa-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
87,Lawrence,Save-a-Lot,Grocery,"Rt 7-Box 20110, Louisa, KY 41230",606-638-3605,38.12458,-82.623425,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/louisa-41230-23818/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
88,Lawrence,Food City,Grocery,"70 Business US 23, Louisa, KY 41230",606-638-3434,38.117871,-82.619571,Everyday 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/433/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=433"">Click here to access their website</a>",N/A,Yes,Yes,N/A
89,Lee,Save-a-Lot,Grocery,"2093 KY-11, Beattyville, KY 41311",606-464-8437,37.548823,-83.724574,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/beattyville-41311-24458/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
90,Lee,Jack's IGA,Grocery,"285 Main St, Beattyville, KY 41311",606-464-2707,37.572932,-83.710893,Everyday 9-8,"<a href = ""https://www.jacksigabeattyville.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
91,Leslie,Save-a-Lot,Grocery,"92 KY-80, Hyden, KY 41749",606-672-3752,37.118853,-83.741236,Everyday 8-9,"<a href = ""https://savealot.com/grocery-stores/hyden-41749-24739/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
92,Leslie,Cox IGA Supermarket,Grocery,"21224 KY-80, Hyden, KY 41749",606-672-2070,37.151629,-83.372455,"Mon-Sat 7-9, Sun 9-8","<a href = ""https://www.iga.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
93,Letcher,Food City,Grocery,"251 Medical Plaza Ln, Whitesburg, KY 41858",606-632-9680,37.125159,-82.842931,Everyday 6-12am,"<a href = ""https://www.foodcity.com/stores/store-details/436/?utm_source=googlebusiness&utm_medium=businesslocal&utm_campaign=grocery&utm_content=436"">Click here to access their website</a>",N/A,Yes,Yes,N/A
94,Letcher,Save-a-Lot,Grocery,"136 Parkway Plaza Loop, Whitesburg, KY 41858",606-633-1884,37.123398,-82.839413,"Mon-Sat 8-9, Sun 9-8","<a href = ""https://savealot.com/grocery-stores/whitesburg-41858-23582/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
95,Letcher,Walmart,Grocery,"350 Cs-1003, Whitesburg, KY 41858",606-633-0152,37.11702,-82.79496,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/552/whitesburg-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
96,Letcher,Price Less Foods,Grocery,"34 Whitesburg Plaza, Whitesburg, KY 41858",606-633-3086,37.116183,-82.796438,Everyday 7-10,"<a href = ""https://www.mypricelessfoods.com/"">Click here to access their website</a>",N/A,Yes,No,N/A
97,Letcher,Isom IGA,Grocery,"29 Isom Dr, Isom, KY 41824",606-633-9820,37.184116,-82.907006,"Mon-Sat 7-9, Sun 10-9","<a href = ""https://isom.iga.com/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
98,Letcher,Frank's Market,Grocery,"32 Marshalls Branch, Jenkins, KY 41537",606-639-2118,37.206595,-82.58036,N/A,N/A,Approximate location,No,No,N/A
99,Lewis,Save-a-Lot,Grocery,"50 Market St, Vanceburg, KY 41179",606-796-2424,38.599406,-83.335159,Everyday 7-10,"<a href = ""https://savealot.com/grocery-stores/vanceburg-41179-45093/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
100,Lewis,Ron's IGA,Grocery,"4577 KY-10, Tollesboro, KY 41189",606-798-3921,38.560933,-83.594921,"Mon-Sat 8-8, Sun 10-7","<a href = ""https://ronsiga.net/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
101,Lincoln,Durham's Grocery,Grocery,"606 Lancaster St, Stanford, KY 40484",606-365-2716,37.532842,-84.661425,"Mon-Sat 7-8, Sun 8-8","<a href = ""https://www.durhamsgrocery.com/ads"">Click here to access their website</a>",N/A,No,Yes,N/A
102,Lincoln,Save-a-Lot,Grocery,"100 Lacy St, Stanford, KY 40484",606-365-1187,37.531752,-84.65226,"Mon-Sat 9-9, Sun 8-9","<a href = ""https://savealot.com/grocery-stores/stanford-40484-24738/"">Click here to access their website</a>",N/A,Yes,Yes,N/A
103,Lincoln,Walmart Supercenter,Grocery,"1283 US-27 N, Stanford, KY 40484",606-365-2153,37.547822,-84.646965,Everyday 6-11pm,"<a href = ""https://www.walmart.com/store/825/stanford-ky/details"">Click here to access their website</a>",N/A,Yes,Yes,N/A
104,Madison,Aldi,Grocery,"798 Eastern Bypass, Richmond, KY 40475",855-955-2534,37.730503,-84.287053,Everyday 9-8,"<a href = ""https://www.aldi.us/en/weekly-specials/our-weekly-ads/"">Click here to access their website</a>",N/A,Yes,No,N/A
